#CODE;ENGLISH;;;;;;;;;x 
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;;;;;;;;;x 
EVTDESC100107;[From.GetTitledFirstName] does not agree with me, [From.GetSheHe] see no reason why we should be here, not for the prestige, nor for the lands or wealth we might acquire and definitely not for the Glory of God!;;;;;;;;;x 
EVTOPTA100107;We are here because God wills it!;;;;;;;;;x 
EVTOPTB100107;And you call yourself Crusader!;;;;;;;;;x 
EVTDESC100108;All had different reasons why they were here, crusading against the infidels in [Root.Location.GetName], some for the Glory of God, some for the lands and wealth they hoped to acquire, others for the prestige. Both [From.GetTitledFirstName] and I are here, risking our lives together, for the same reason:;;;;;;;;;x 
EVTOPTA100108;Friendship and for the Glory of God!;;;;;;;;;x 
EVTOPTB100108;Friendship and the prestige this crusade brings us!;;;;;;;;;x 
EVTOPTA100110;First step first, make friends with a councillor...;;;;;;;;;x 
EVTOPTB100110;I will never be better than [Root.Liege.GetChancellorName] [Root.Liege.job_chancellor.GetTitledFirstName];;;;;;;;;x 
EVTOPTC100110;I will never be better than [Root.Liege.GetMarshalName] [Root.Liege.job_marshal.GetTitledFirstName];;;;;;;;;x 
EVTOPTD100110;I will never be better than [Root.Liege.GetTreasurerName] [Root.Liege.job_treasurer.GetTitledFirstName];;;;;;;;;x 
EVTOPTE100110;I will never be better than [Root.Liege.GetSpymasterName] [Root.Liege.job_spymaster.GetTitledFirstName];;;;;;;;;x 
EVTOPTF100110;I will never be better than [Root.Liege.GetLordSpiritualName] [Root.Liege.job_spiritual.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100111;[From.GetTitledFirstName] asked nicely, and I like [From.GetHerHim];;;;;;;;;x 
EVTTOOLTIP100112;[Root.GetTitledFirstName]'s helpfulness makes [This.GetTitledFirstName] respect [Root.GetHerHim] even more;;;;;;;;;x 
EVTOPTB100111;I'll help [From.GetTitledFirstName] but I'll keep an eye on [From.GetHerHim]!;;;;;;;;;x 
EVTTOOLTIP100113;[Root.GetTitledFirstName] refusal to help [This.GetTitledFirstName] has given [Root.GetHerHim] a new rival;;;;;;;;;x 
EVTDESC100112;At first I had only wanted [From.GetTitledFirstName] to teach me more about [From.GetHerHis] work as a councillor because I aspired to gain that position, but as we talked and got to know each other I realized we had become friends.;;;;;;;;;x 
EVTOPTA100112;Does this mean I cannot steal your job now?;;;;;;;;;x 
EVTDESC100113;Even though my motives to get [From.GetTitledFirstName] to teach me more about [From.GetHerHis] work as a councillor was more than arbitrary, I hadn't really expected the reaction I got from [From.GetTitledFirstName] when [From.GetSheHe] refused to teach me. My aspirations was widely known and [From.GetTitledFirstName] feared I would steal [From.GetHerHis] job!;;;;;;;;;x 
EVTOPTA100113;Well, yes...;;;;;;;;;x 
EVTDESC100115;I have the fortune of being pregnant at the same time as one of the courtiers at court. We talk about our pregnancies, discuss our problems like morning sickness and swollen feet and talk about what we would name our babies.;;;;;;;;;x 
EVTOPTA100115;Us mothers should stick together;;;;;;;;;x 
EVTTOOLTIP100116;[Root.GetTitledFirstName] feels [This.GetTitledFirstName] is a trustworthy friend;;;;;;;;;x 
EVTOPTB100115;My spouse is all comfort I need;;;;;;;;;x 
EVTDESC100116;[From.GetTitledFirstName] and I are both pregnant and I have heard more about [From.GetHerHis] morning sickness, swollen feet and absent husband than I really wanted to know. Still, it is very comforting having someone else going through the same thing as I do, to have someone you can talk about embarrassing problems and know they have the same or even more embarrassing problems.;;;;;;;;;x 
EVTOPTA100116;[From.GetTitledFirstName] is a true friend;;;;;;;;;x 
EVTOPTB100116;This will only last until the baby is born;;;;;;;;;x 
EVTTOOLTIP100117;[Root.GetTitledFirstName] inadvertently upsets [This.GetTitledFirstName]'s feelings;;;;;;;;;x 
EVTDESC100117;The babies are born and I had looked forward to being a mother together with [From.GetTitledFirstName], but [From.GetSheHe] told me that now when the baby is born [From.GetSheHe] won't have time to even talk to me. I don't understand why, it can't be that hard to do two things at the same time?;;;;;;;;;x 
EVTOPTA100117;I... I really thought we were friends!;;;;;;;;;x 
opinion_very_disappointed;Very Disappointed;;;;;;;;;x 
opinion_very_grateful;Very Grateful;;;;;;;;;x 
EVTDESC100150;Battle after battle, siege after siege... my friend must be pretty tired of the war, maybe I could help my friend in any way?;;;;;;;;;x 
EVTOPTA100150;My troops could use the exercise!;;;;;;;;;x 
EVTTOOLTIP100151;[This.GetTitledFirstName] is grateful for any help [Root.GetTitledFirstName] is willing to give;;;;;;;;;x 
EVTOPTB100150;Some gold should help my friend win this war!;;;;;;;;;x 
EVTOPTC100150;My friend have everything under control, my help is unnecessary;;;;;;;;;x 
EVTDESC100151;My dear friend, I fear the war might drag you away from me longer than necessary and thus I felt there must be something I could do! So please accept my help, and let's win this war - together!\n\nYour Loyal Friend,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100151;With your help, I can defeat any foe!;;;;;;;;;x 
EVTDESC100152;Dear [Root.GetTitledFirstName], I am a bit concerned about this war you currently struggle with and therefore I decided I would send you a small gift - nothing much, just so you can hire some more soldiers.\n\nSincerely, your friend\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100152;This will suffice, thank you!;;;;;;;;;x 
EVTDESC100153;Despite being able to help me with my latest war, my friend [From.GetTitledFirstName] chose to ignore my plight. The war was a struggle and any help, any help at all, could have helped me greatly.;;;;;;;;;x 
EVTOPTA100153;Don't count on my help then, [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB100153;The war is over, no need to dwell on the past;;;;;;;;;x 
EVTDESC100160;This war isn't going quite as I thought it would. I lose more men per battle than I'd planned and the sieges - the sieges is going on forever! More manpower and more siege weapons is what I need, perhaps a friend could assist me with this?;;;;;;;;;x 
EVTOPTA100160;Ask my friend to join the war!;;;;;;;;;x 
EVTTOOLTIP100161;is asked to join [Root.GetTitledFirstName]'s war;;;;;;;;;x 
EVTOPTB100160;Ask a friend for some monetary help;;;;;;;;;x 
EVTTOOLTIP100162;[Root.GetTitledFirstName] asks [This.GetTitledFirstName] for some money;;;;;;;;;x 
EVTOPTC100160;I need no help, this war will soon be won!;;;;;;;;;x 
EVTDESC100161;My dear friend, it pains me to have to ask you to join my war. I must confess that the war does not progress as well as I had hoped it would, and I would really appreciate if you would lend me your help, your troops and your siege weapons.\n\nWith hopeful regards,\nYour friend,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100161;[Root.GetTitledFirstName] to the rescue!;;;;;;;;;x 
EVTTOOLTIP100163;gladly accepts all help [This.GetSheHe] can get;;;;;;;;;x 
EVTOPTB100161;I can send [From.GetHerHim] some money instead;;;;;;;;;x 
EVTOPTC100161;I cannot help [From.GetHerHim] at this time;;;;;;;;;x 
EVTTOOLTIP100164;is disappointed [Root.GetTitledFirstName] couldn't help [This.GetHerHim];;;;;;;;;x 
EVTDESC100162;Dear [Root.GetTitledFirstName], I never thought I would feel the shame of asking a friend for some monetary help but this war is threatening to run my coffers dry. I implore you, as a friend to a friend, for a small monetary gift so that I may win this war!\n\nWith my deepest thanks in beforehand\nYour friend,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100162;I hope this small sum will help [From.GetHerHim] win the war!;;;;;;;;;x 
EVTOPTB100162;If the war is going so badly, I better join [From.GetHerHim]!;;;;;;;;;x 
EVTOPTC100162;My hands are tied, there's nothing I can do for [From.GetHerHim];;;;;;;;;x 
EVTDESC100163;My letter to [From.GetTitledFirstName] could have gotten lost in any number of ways and, truthfully, sometimes I wished it would. The shame of having to ask a friend for help gnawed at me until I got [From.GetTitledFirstName]'s response...;;;;;;;;;x 
EVTOPTA100163;...[From.GetSheHe] joined my war!;;;;;;;;;x 
EVTOPTB100163;...sent me money for troops!;;;;;;;;;x 
EVTDESC100164;Dear [From.GetTitledFirstName], my duties to my family and my vassals disallows me to help you at this moment. I hope the war will turn to your favor and I wish for you to win the war quickly.\n\nWith hopes of understanding,\nYour friend,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA100164;I'll manage, somehow...;;;;;;;;;x 
EVTDESC100170;The friend of a friend is my friend - a motto I try to live by and sometimes that is an easy truth. A friend of a friend was introduced and I immediately felt a kind of connection with this stranger...;;;;;;;;;x 
EVTOPTA100170;...so I hope we'll be friends!;;;;;;;;;x 
EVTTOOLTIP100171;[Root.GetTitledFirstName] hope [Root.GetSheHe] and [This.GetTitledFirstName] will be friends;;;;;;;;;x 
EVTTOOLTIP100172;[Root.GetTitledFirstName]'s friend [This.GetTitledFirstName] is glad [This.GetHerHis] friends are friends;;;;;;;;;x 
EVTOPTB100170;...but just because we share a friend doesn't mean we can be friends;;;;;;;;;x 
EVTTOOLTIP100173;[Root.GetTitledFirstName]'s unwillingness to make friends with [This.GetTitledFirstName] upsets [This.GetHerHim];;;;;;;;;x 
EVTDESC100171;When I introduced my friend to [From.GetTitledFirstName] I had high hopes. I hoped they would become fast friends so we could spend time together, the three of us.;;;;;;;;;x 
EVTOPTA100171;Too bad [From.GetTitledFirstName] didn't like my friend;;;;;;;;;x 
EVTTOOLTIPA100171;[Root.GetTitledFirstName]'s friend [This.GetTitledFirstName] decided to ignore [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100171;[From.GetTitledFirstName] and my friend had a great time together!;;;;;;;;;x 
EVTDESC100172;[From.GetTitledFirstName] was introduced by a mutual friend and we talked for quite a while. We had our differences and a few arguments, then we found common, safe ground and I began enjoying myself. [From.GetTitledFirstName] seems like a decent person.;;;;;;;;;x 
EVTOPTA100172;I wouldn't mind talking to [From.GetTitledFirstName] some more;;;;;;;;;x 
EVTTOOLTIPA100174;[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to friends;;;;;;;;;x 
EVTOPTB100172;I don't like [From.GetHerHis] opinions, nor do I like [From.GetHerHim]!;;;;;;;;;x 
EVTTOOLTIP100175;[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to rivals;;;;;;;;;x 
EVTOPTC100172;A nice [From.GetManWoman], but I wouldn't want [From.GetHerHim] as a friend;;;;;;;;;x 
EVTTOOLTIPB100174;No friendship was born between [Root.GetTitledFirstName] and [This.GetTitledFirstName] this day;;;;;;;;;x 
EVTDESC100173;After I talked to [From.GetTitledFirstName] and discovered we had next to nothing in common and that [From.GetSheHe] was a horrible [From.GetManWoman], I wanted nothing to do with [From.GetTitledFirstName] ever again! Our mutual friend wasn't happy, but understood that I wouldn't ever be friends with [From.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA100173;Don't introduce me to another of your 'friends' ever again!;;;;;;;;;x 
EVTDESC100174;We had a few disagreements and a few arguments but once we arrived on common, safe ground I really enjoyed talking to [From.GetTitledFirstName]. I should remember to thank my friend for introducing me to [From.GetTitledFirstName], it has been a long time since I've found such an interesting [From.GetManWoman]!;;;;;;;;;x 
EVTOPTA100174;Friends forever, or what do you say, [From.GetTitledFirstName]?;;;;;;;;;x 
EVTOPTB100174;[From.GetTitledFirstName] didn't think we could become friends;;;;;;;;;x 
opinion_rejected_friend;Rejected my friendship;;;;;;;;;x 
EVTDESC100175;I don't know when I started disliking [From.GetTitledFirstName], but it must have been when [From.GetSheHe] disagreed with me about how the peasants should be treated. The more we talked, the less I liked [From.GetTitledFirstName] and enough was enough! We would never be friends, only rivals.;;;;;;;;;x 
EVTOPTA100175;I don't like you, I don't like you at all [From.GetTitledFirstName]!;;;;;;;;;x 
opinion_accepted_religion;Accepted My Religion;;;;;;;;;x 
opinion_happy_convertion;Happy for a converted friend;;;;;;;;;x 
opinion_wrong_religion;Wrong Religion;;;;;;;;;x 
EVTDESC100180;It's hard being a good [Root.Religion.GetName] these days, but my friend truly shocked me when I realized we did not share the same religion. My dear friend is a heretic!;;;;;;;;;x 
EVTOPTA100180;I shall try to convert my friend to the one true faith!;;;;;;;;;x 
EVTTOOLTIP100181;[Root.GetTitledFirstName] tries to convert [This.GetTitledFirstName] to a God-fearing [Root.Religion.GetName];;;;;;;;;x 
EVTOPTB100180;Who cares about religion anyway? I don't!;;;;;;;;;x 
EVTTOOLTIP100182;[Root.GetTitledFirstName] accepts that [This.GetTitledFirstName] is a [This.Religion.GetName];;;;;;;;;x 
EVTOPTC100180;To be a good friend, I should probably learn more about this religion;;;;;;;;;x 
EVTTOOLTIP100183;[Root.GetTitledFirstName]'s interest in [This.Religion.GetName] gladdens [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTD100180;I can't be friends with a heretic!;;;;;;;;;x 
EVTTOOLTIP100184;[Root.GetTitledFirstName] is no longer friends with [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTE100180;My friend's religion sounds better than [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC100181;[From.GetTitledFirstName] is a devout [From.Religion.GetName], so when I told [From.GetHerHim] that I believed in [Root.Religion.GetRandomGodName] rather than [From.Religion.GetRandomGodName] I knew what [From.GetSheHe] was going to say. After a long, heated discussion about religion, considered disadvantages and advantages of our respective religions I decided to...;;;;;;;;;x 
EVTOPTA100181;...keep my religion but lose my friend;;;;;;;;;x 
EVTTOOLTIP100185;[Root.GetTitledFirstName] cannot be friends with someone who does not respect [Root.GetHerHis] religion;;;;;;;;;x 
EVTOPTB100181;...keep my friend and convert to the [From.Religion.GetName] religion;;;;;;;;;x 
EVTTOOLTIP100186;[Root.GetTitledFirstName] converts to [From.GetTitledFirstName]'s religion;;;;;;;;;x 
EVTOPTC100181;...keep both my religion and my friend;;;;;;;;;x 
EVTDESC100182;I feared what [From.GetTitledFirstName] would say when I told [From.GetHerHim] that I did not believe in [From.Religion.GetRandomGodName], that I am a devout [Root.Religion.GetName] and I would not give up my religion for anyone. [From.GetTitledFirstName] was more understanding than I would've thought [From.GetHerHim] to be, and after asking some questions [From.GetSheHe] seemed to accept me and my religion.;;;;;;;;;x 
EVTOPTA100182;A friend like you is hard to find, [From.GetTitledFirstName];;;;;;;;;x 
EVTDESC100183;[From.GetTitledFirstName] was very inquisitive and asked a lot of questions about [Root.Religion.GetName] and [Root.Religion.GetRandomGodName]. I was happy to talk about my religion and my god with a nonjudgmental [From.GetManWoman] and answered all [From.GetHerHis] questions as good as I could.;;;;;;;;;x 
EVTOPTA100183;Thank you for not judging my religion, [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB100183;...[From.GetTitledFirstName] even decided to convert to [Root.Religion.GetName]!;;;;;;;;;x 
EVTDESC100184;It went exactly as I had feared - [From.GetTitledFirstName] couldn't accept me being a [Root.Religion.GetName] and condemned me and my religion. I tried to reason with [From.GetTitledFirstName] and told [From.GetHerHim] about all the similarities with [From.GetHerHis] religion and [From.Religion.GetName] but I was talking to deaf ears.;;;;;;;;;x 
EVTOPTA100184; [From.GetTitledFirstName] decided [From.GetSheHe] couldn't be friends with a heretic;;;;;;;;;x 
EVTDESC100185;I tried talking to [From.GetTitledFirstName], discuss, argue, everything! Nothing I said, nothing I did could convince [From.GetTitledFirstName] to abandon [From.GetHerHis] heretical ways and embrace the one true faith, the [Root.Religion.GetName] religion. Our disagreement about religion were never solved and [From.GetTitledFirstName] told me I was no longer [From.GetHerHis] friend...;;;;;;;;;x 
EVTOPTA100185;I agree, we can no longer be friends;;;;;;;;;x 
EVTDESC100186;The difference between a [Root.Religion.GetName] and a [From.Religion.GetName] is that...'\nI reasoned with [From.GetTitledFirstName] about [From.GetHerHis] religion and tried to explain why being a [From.Religion.GetName] in this day and age was a bad idea.;;;;;;;;;x 
EVTOPTA100186;[From.GetTitledFirstName] decided to convert and become a [Root.Religion.GetName];;;;;;;;;x 
EVTOPTB100186;[From.GetTitledFirstName] did not heed my warning;;;;;;;;;x 
EVTDESC100190;I need help with a delicate private matter I don't want the [Root.GetChancellorName] to take care of. There are those who think me undiplomatic and I fear they are right, and now I really need to be diplomatic or the [Root.GetManWomanOpp] blackmailing me might spread [Root.GetHerHisOpp] lies with me being unable to do anything about it.;;;;;;;;;x 
EVTOPTA100190;My diplomatic friend, could you please help me?;;;;;;;;;x 
EVTTOOLTIP100191;[Root.GetTitledFirstName] begs [This.GetTitledFirstName] for help with the extortionist;;;;;;;;;x 
EVTOPTB100190;No one, not even my friends, can know about this!;;;;;;;;;x 
EVTDESC100191;I heard about the mad [From.GetManWomanOpp] who tries to blackmail [From.GetTitledFirstName] before my friend [From.GetTitledFirstName] came to me and asked for help. [From.GetTitledFirstName] isn't known for [From.GetHerHis] diplomacy and, as desperate as [From.GetSheHe] is, it is even more likely [From.GetTitledFirstName] would handle this situation with less tact than needed.;;;;;;;;;x 
EVTOPTA100191;I'll help you in any way I can!;;;;;;;;;x 
EVTTOOLTIP100192;[Root.GetTitledFirstName] decides to help [This.GetTitledFirstName] deal with the blackmailing [This.GetManWomanOpp];;;;;;;;;x 
EVTOPTB100191;Don't get me involved with that mad [From.GetManWomanOpp]!;;;;;;;;;x 
EVTTOOLTIP100193;is forced to handle the mad [This.GetManWomanOpp] without [Root.GetTitledFirstName]'s help;;;;;;;;;x 
EVTOPTC100191;The blackmailer is mad, if you want my help I want to be reimbursed;;;;;;;;;x 
EVTTOOLTIP100194;is grateful for [Root.GetTitledFirstName] help but not happy about having to pay for it;;;;;;;;;x 
EVTDESC100192;[From.GetTitledFirstName] and I managed to stop the mad [Root.GetManWomanOpp] from blackmailing and spread malevolent rumors about me. It took every effort, all of our combined diplomatic skill and even a small bribe to get the extortionist to promise to stop the rumors, never approach me again and leave me alone.;;;;;;;;;x 
EVTOPTA100192;Finally I got rid of that lunatic!;;;;;;;;;x 
EVTDESC100193;Without the help of [From.GetTitledFirstName], I was unable to stop the extortionist spreading evil rumors about me. Now everyone thinks I really did that awful thing with that lunatic [Root.GetManWomanOpp]! Why [Root.Religion.GetRandomGodName], why?!;;;;;;;;;x 
EVTOPTA100193;I'm so ashamed I don't know what to do...;;;;;;;;;x 
EVTDESC100194;I explained the situation for [From.GetTitledFirstName] carefully, not wanting [From.GetHerHim] to know too much about the situation but the fear of the lunatic [Root.GetManWomanOpp] spreading malicious rumors made me quite talkative and I may have told [From.GetTitledFirstName] too much. It was for the best though, [From.GetTitledFirstName] agreed to help me but wanted to be reimbursed, in case something would happen...;;;;;;;;;x 
EVTOPTA100194;Friends help each other without charging for it!;;;;;;;;;x 
EVTTOOLTIPA100195;tried to charge [Root.GetTitledFirstName] for [This.GetHerHis] help;;;;;;;;;x 
EVTOPTB100194;I'll give you whatever you want, just please help me!;;;;;;;;;x 
EVTTOOLTIPB100195;is paid for [This.GetHerHis]'s help with [Root.GetTitledFirstName]'s lunatic extortionist and the problem is solved;;;;;;;;;x 
EVTDESC100195;I agreed to help [From.GetTitledFirstName] with [From.GetHerHis] lunatic extortionist if I was paid for my help, and I had already figured out a plan when [From.GetTitledFirstName] told me whether or not my help was wanted enough for getting my demands fulfilled.;;;;;;;;;x 
EVTOPTA100195;No money, no help;;;;;;;;;x 
EVTOPTB100195;I've gotten the money, now here's what we shall do...;;;;;;;;;x 
EVTDESC100200;My knowledge of swords extends only so far as to 'long, sharp things you poke people with when you want them to die, especially if you are in a duel or at war', and it's becoming an embarrassment. If someone could ever teach me anything about swords and how to use them, it would be one of my best friends and I can trust him to never mock my lack of skill.;;;;;;;;;x 
EVTOPTA100200;I really should ask him for help;;;;;;;;;x 
EVTTOOLTIP100201;is asked by [Root.GetTitledFirstName] to help him refine his sword skills;;;;;;;;;x 
EVTOPTB100200;I can probably figure this out by myself... OW!;;;;;;;;;x 
EVTDESC100201;I have seen how [From.GetTitledFirstName] handle swords, and it is not a pretty sight. Half of the time [From.GetSheHe] seems to forget which side is the sharp one! Should I laugh or should I cry at [From.GetTitledFirstName]'s incompetence with the sword? Now [From.GetTitledFirstName] seems to think I could teach [From.GetHerHim] all I know.;;;;;;;;;x 
EVTOPTA100201;I can only try...;;;;;;;;;x 
EVTTOOLTIP100202;[Root.GetTitledFirstName] reluctantly try to teach [This.GetTitledFirstName] how to use a sword;;;;;;;;;x 
EVTOPTB100201;Give it up. You and swords will never work;;;;;;;;;x 
EVTTOOLTIP100203;is disappointed but accepts [Root.GetTitledFirstName]'s refusal to teach him;;;;;;;;;x 
EVTOPTC100201;I'm risking my life, so I'd like to get paid;;;;;;;;;x 
EVTTOOLTIP100204;considers [Root.GetTitledFirstName] request;;;;;;;;;x 
EVTDESC100202;It took a while, but after a couple of days I learned which part of the sword I could touch without getting hurt. Then came the easy part: how to use the sword. After having practiced on a dummy for several weeks I finally managed to impress [From.GetTitledFirstName] enough to get to practice with [From.GetHerHim] instead of hacking at the dummy.;;;;;;;;;x 
EVTOPTA100202;I'm still no good with swords, but better than before;;;;;;;;;x 
EVTDESC100203;You are a menace with a sword, don't even know which end you should hold and which one you use to kill people with. It saddens me to tell you this but I believe you to be unteachable.'\n[From.GetTitledFirstName] did not mince [From.GetHerHis] words when [From.GetSheHe] told me how utterly unteachable I was and that I should leave the swords to 'real men'!;;;;;;;;;x 
EVTOPTA100203;I am a man! Give me that sword... OW!;;;;;;;;;x 
EVTDESC100204;[From.GetTitledFirstName] refused to teach me unless I paid [From.GetHerHim] and followed [From.GetHerHis] every rule. [From.GetSheHeCap] told me that I was a menace with a sword and the gold was meant to pay for any medical attention [From.GetSheHe] might need while teaching me how to use the sharp part of a sword.;;;;;;;;;x 
EVTOPTA100204;Aren't you expecting the worst now? I'm sure both of us will be fine...;;;;;;;;;x 
EVTTOOLTIPA100205;[Root.GetTitledFirstName] is not willing to pay [This.GetTitledFirstName] for [This.GetHerHis] help;;;;;;;;;x 
EVTOPTB100204;I can see the wisdom of that, just teach me already!;;;;;;;;;x 
EVTTOOLTIPB100205;[Root.GetTitledFirstName] agrees to [This.GetTitledFirstName]'s demands and precautionary measures;;;;;;;;;x 
EVTDESC100205;Teach [From.GetTitledFirstName] how to use a sword must be the most hazardous job in the whole world, and I told [From.GetHerHim] exactly that. [From.GetTitledFirstName] still insisted and so I told [From.GetHerHim] I wanted some safety for I feared [From.GetTitledFirstName] would injure me, although unintentionally.;;;;;;;;;x 
EVTOPTA100205;[From.GetTitledFirstName] did not agree to that, and so I refused to help;;;;;;;;;x 
EVTOPTB100205;[From.GetTitledFirstName] saw the wisdom in that and agreed;;;;;;;;;x 
EVTTOOLTIPC100205;Under [Root.GetTitledFirstName]'s careful supervision, [This.GetTitledFirstName] learns how to use a sword;;;;;;;;;x 
EVTDESC100210;I need to take a look at the buildings in [Root.Location.GetName] and figure out how to reinforce them and make them harder to conquer if the county would be sieged. The buildings did not inspire me in any way, but I have a friend who is excellent at these kind of things.;;;;;;;;;x 
EVTOPTA100210;What am I waiting for? A siege? Just ask!;;;;;;;;;x 
EVTTOOLTIP100211;is told what [Root.GetTitledFirstName] had in mind about reinforcements in [Root.Location.GetName];;;;;;;;;x 
EVTOPTB100210;Maybe a new watchtower? Or a defensive wall? I'll think of something...;;;;;;;;;x 
EVTDESC100211;The buildings [From.GetTitledFirstName] was looking to reinforce should be torn down and replaced with sturdier houses and watchtowers, but [From.GetTitledFirstName] was insistent something could be done about them. I told [From.GetHerHim] my honest opinion about the buildings.;;;;;;;;;x 
EVTOPTA100211;The materials from the old houses could be used to erect better buildings...;;;;;;;;;x 
EVTTOOLTIP100212;is grateful [Root.GetTitledFirstName] helps [This.GetHerHim] with the buildings;;;;;;;;;x 
EVTOPTB100211;Nothing can be done! Tear them down before they fall apart;;;;;;;;;x 
EVTTOOLTIP100213;is disappointed [Root.GetTitledFirstName] couldn't give any better advice;;;;;;;;;x 
EVTOPTC100211;The cost to rebuild them will be great, and I want a share of that;;;;;;;;;x 
EVTTOOLTIP100214;considers [Root.GetTitledFirstName] offer;;;;;;;;;x 
EVTDESC100212;There's nothing we can do about the buildings except tear them down and use the salvageable material from them to build new houses with better fortifications. This is how I picture it...'\nWith [From.GetTitledFirstName]'s ideas and the material we managed to salvage, the new buildings would really outshine the old ones.;;;;;;;;;x 
EVTOPTA100212;This is perfect! Thank you [From.GetTitledFirstName]!;;;;;;;;;x 
friendly_innovations;Friendly Innovations;;;;;;;;;x 
EVTDESC100213;I talked and talked about what kind of reinforcements I thought the buildings could benefit from, but [From.GetTitledFirstName] was skeptical of all my ideas. [From.GetSheHeCap] called the buildings 'unsalvageable' and 'a threat to anyone'. 'Tear them down and build anew', was [From.GetTitledFirstName]'s advice.;;;;;;;;;x 
EVTOPTA100213;But... that'll cost too much!;;;;;;;;;x 
EVTDESC100214;It will cost a large sum of money to repair these old buildings and even if they are repaired I wouldn't promise they would stand a siege. Tear them down, salvage as much material as you can, and build anew. It'll cost, and if you want my help, it'll cost a bit more.'\n[From.GetTitledFirstName] condemned the old buildings and my plans to reinforce them.;;;;;;;;;x 
EVTOPTA100214;Then I can do nothing about them;;;;;;;;;x 
EVTTOOLTIPA100215;[Root.GetTitledFirstName] rejects [This.GetTitledFirstName]'s suggestion;;;;;;;;;x 
EVTOPTB100214;If that's the best idea, I'll have to do it;;;;;;;;;x 
EVTTOOLTIPB100215;is paid to help [Root.GetTitledFirstName] tear down and erect new buildings;;;;;;;;;x 
EVTDESC100215;After I told [From.GetTitledFirstName] the best way would be to tear the buildings down and what it would cost to erect new buildings, including my share of the money, [From.GetTitledFirstName] was silent for a very long time. I was about to nudge [From.GetTitledFirstName], thinking [From.GetSheHe] might have forgotten that I was standing next to [From.GetHerHim] when [From.GetSheHe] spoke up.;;;;;;;;;x 
EVTOPTA100215;[From.GetTitledFirstName] disagreed and rejected my idea;;;;;;;;;x 
EVTOPTB100215;[From.GetTitledFirstName] agreed, and accepted that I would get a share;;;;;;;;;x 
EVTDESC100220;My food has tasted strange lately and I have begun to eat less and less for fear of being poisoned. I don't trust the [Root.GetSpymasterName] to find the poisoner, the only one I can rely on is my friend.;;;;;;;;;x 
EVTOPTA100220;With my friend, I'll find the poisoner and put a stop to this!;;;;;;;;;x 
EVTTOOLTIP100221;is convinced someone is trying to poison [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB100220;I'm just being paranoid, the food is fine;;;;;;;;;x 
EVTDESC100221;It all sounded as another of [From.GetTitledFirstName]'s paranoid delusions, but I had to agree when [From.GetSheHe] invited me for dinner that the food had an odd taste and a rather strange lingering aftertaste. Someone might be trying to poison [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA100221;You need my help and you'll get it!;;;;;;;;;x 
EVTTOOLTIP100222;is relieved [Root.GetTitledFirstName] believes someone is trying to poison [This.GetHerHim];;;;;;;;;x 
EVTOPTB100221;I feel fine! The food taste funny but it's not poisoned!;;;;;;;;;x 
EVTTOOLTIP100223;cannot believe [Root.GetTitledFirstName] does not believe someone is trying to poison [This.GetHerHim];;;;;;;;;x 
EVTOPTC100221;Give me some coins and I'll have this figured out in no time!;;;;;;;;;x 
EVTTOOLTIP100224;contemplates whether or not it is worth it;;;;;;;;;x 
EVTDESC100222;[From.GetTitledFirstName] did agree with me that the food tasted strange, but wasn't entirely certain someone was trying to poison me. I gave [From.GetTitledFirstName] permission to talk to and interrogate whomever [From.GetSheHe] saw fit, and the cook confessed to having used rancid meat in the stews and trying to cover up the taste with a lot of spices, some poisonous unless used in moderation...;;;;;;;;;x 
EVTOPTA100222;The cook didn't intend to poison me, but it was close;;;;;;;;;x 
EVTDESC100223;What are you talking about? Poison? You must be joking, this stew tastes fine. Maybe it needs a bit more salt but there's nothing wrong with it!'\n[From.GetTitledFirstName] dismissed my concerns, leaving me feeling forlorn and scared for my life.;;;;;;;;;x 
EVTOPTA100223;The poisoner is out there, wanting to kill me!;;;;;;;;;x 
EVTDESC100224;To be completely sure the food was or was not poisoned, [From.GetTitledFirstName] required certain expensive equipment and I was the one to pay for it. Although the food tastes strange, I do not feel any different than before. The question is if this really is necessary: do I really want to know?;;;;;;;;;x 
EVTOPTA100224;No, I don't care. The equipment costs too much!;;;;;;;;;x 
EVTTOOLTIPA100225;accepts [Root.GetTitledFirstName] decision;;;;;;;;;x 
