#CODE;ENGLISH;;;;;;;;;x 
EVTOPTA_TOG_3224;Yes... I suppose it could have happened that way...;;;;;;;;;x 
e_mongol_empire;Mongol Empire;;;;;;;;;x 
e_mongol_empire_adj;Mongol;;;;;;;;;x 
BM_THE_MONGOLS;The Mongols;;;;;;;;;x 
BM_THE_MONGOLS_DESC;After uniting the warring steppe tribes under a single banner for the first time, the great warlord Temujin, or Genghis Khan as he now styles himself, has set out to expand his growing empire further. In Central Asia, Mongolian envoys to Ala ed-Din of Khwarezm have been massacred and this is an insult the Great Khan cannot ignore. He has led his armies west and now stands poised to punish the powerful Muslim realm for its insolence. Like a coiled spring, the massed Mongol armies are ready to be unleashed upon the world. Where will they stop?;;;;;;;;;x 
BM_RISE_OF_THE_HANSA;Rise of the Hansa;;;;;;;;;x 
BM_RISE_OF_THE_HANSA_DESC;The burghers of the Imperial Free Cities of Lübeck and Hamburg in Northern Germany have just formed a trade alliance that will eventually become known as the Hanseatic League. Meanwhile, the terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan.;;;;;;;;;x 
REGIMENT_OF_LEADER;$LEADER$'s Company;;;;;;;;;x 
TITLE_ADJ_REGIMENT;$ADJ$ Company;;;;;;;;;x 
catholic_DESC;Catholicism is one of the oldest branches of Christianity and the one that has had the biggest impact on the history of Europe. The formal head of the religion is the Bishop of Rome - the Pope.;;;;;;;;;x 
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensian heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments.;;;;;;;;;x 
lollard_DESC;Lollard heretics are opposed to perceived corruption within the Catholic Church. Like many Catholic heresies, they loathe the wealth and ostentation of the clergy and advocate a return to a more original form of Christianity.;;;;;;;;;x 
orthodox_DESC;The Orthodox Church is the other main branch of Chalcedonian Christianity that up until 1054 was formally united with the Catholic Church, although the political division can be traced back to the crowning of Charlemagne as Roman Emperor by Pope Leo III in 800, which did not sit well with the Emperor in Constantinople. The nominal head of the Orthodox Church is the Ecumenical Patriarch of Constantinople, but he does not interfere in the affairs of other Patriarchs.;;;;;;;;;x 
miaphysite_DESC;Miaphysite Christianity encompasses the Coptic Church and the Armenian Apostolic Church. Miaphysites stress that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Miaphysite Church is the Pope of Alexandria.;;;;;;;;;x 
monophysite_DESC;Monophysitism is an early Christian heresy which states that Christ had but a single nature. This is the opposite of the Nestorian position where Christ has two separate natures - one divine and one human. Closely related to Miaphytism, Monophysites are regarded as a Miaphysite heresy in-game. The nominal head of the Monophysite Church is the Monophysite Pope of Alexandria.;;;;;;;;;x 
title_cherbi_desc;The Cherbi is the leader of the Kheshig, the imperial guard of the Mongol Empire. They are charged with the protection of the empire's most important nobility, and the position as their commander is a very prestigious one.;;;;;;;;;x 
title_darkhan;Darkhan;;;;;;;;;x 
title_darkhan_desc;Darkhan is a prestigious Mongolian title bestowed by the Khan upon those who have served him exceptionally well. Genghis Khan awarded this title to those allies who aided him during his rise to power.;;;;;;;;;x 
title_noyan;Noyan;;;;;;;;;x 
title_noyan_desc;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.;;;;;;;;;x 
title_baghatur;Baghatur;;;;;;;;;x 
title_baghatur_desc;This honorific, which means hero or valiant warrior, is the rough equivalent of European knighthood. It is usually granted only to those who have truly distinguished themselves in battle.;;;;;;;;;x 
title_lawspeaker;Lawspeaker;;;;;;;;;x 
title_lawspeaker_desc;The Lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.;;;;;;;;;x 
title_drottseti;Dróttseti;;;;;;;;;x 
title_drottseti_desc;The Dróttseti serves as a steward of the realm in a function similar to a seneschal, and it is considered to be a very prestigious post.;;;;;;;;;x 
title_court_skald;Court Skald;;;;;;;;;x 
title_court_skald_desc;Skaldic poetry is a greatly respected art, and the Court Skald is regarded as the realm's foremost expert on verse and prose. The Skald is ultimately responsible for chronicling the ruler's deeds for posterity.;;;;;;;;;x 
title_marksman;Merkismaðr;;;;;;;;;x 
title_marksman_desc;Literally meaning Marksman, the Merkismaðr has the honor of serving as the standard-bearer.;;;;;;;;;x 
title_hirdman;Hirdman;;;;;;;;;x 
title_hirdman_desc;The Hirdmen are seen as the ruler's trusted companions in arms, and the holders of this title command a great deal of respect.;;;;;;;;;x 
title_shahrwaraz;Shahrwarãz;;;;;;;;;x 
title_shahrwaraz_desc;The Shahrwarãz, the Boar of the Empire, is a prestigious honorary title dating back to the Sassanids. In Zoroastrianism, the boar is closely associated with the Izad Vahram, the epitome of victory. This honorific can only be bestowed upon those with exceptional martial ability.;;;;;;;;;x 
title_kardarigan;Kardarigan;;;;;;;;;x 
title_kardarigan_desc;This honorific means black hawk and was granted to several gifted Sassanid generals for their achievements on the field of battle. It can only be bestowed upon those with exceptional martial ability.;;;;;;;;;x 
title_shahin;Shahin;;;;;;;;;x 
title_shahin_desc;This honorific means falcon and was granted to several gifted Sassanid generals for their achievements on the field of battle. It can only be bestowed upon those with exceptional martial ability.;;;;;;;;;x 
title_pushtigban_salar;Pushtigban-salar;;;;;;;;;x 
title_pushtigban_salar_desc;The Pushtigban-salar is the appointed commander of the royal guard, and as such, commands a significant amount of respect.;;;;;;;;;x 
title_spahbod;Spahbod;;;;;;;;;x 
title_spahbod_desc;This title, roughly meaning army chief, can be traced all the way back to the Achaemenid Empire, and during the Sassanid reign there were four Spahbods assigned to each corner of the Persian realm. It remains a prestigious military office.;;;;;;;;;x 
title_eran_ambaragbed;Eran Ambaragbed;;;;;;;;;x 
title_eran_ambaragbed_desc;As the minister of the magazines, it is the responsibility of the Eran Ambaragbed to see to the arms and armaments of the realm's warriors.;;;;;;;;;x 
job_chancellor_zoroastrian_group;Astabadh;;;;;;;;;x 
job_marshal_zoroastrian_group;Eran Spahbod;;;;;;;;;x 
job_treasurer_zoroastrian_group;Darik-Pat;;;;;;;;;x 
EVTDESC_TOG_4001;I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Stettin, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_TOG_4001;By all means, build your castle.;;;;;;;;;x 
EVTOPTC_TOG_4001;No, I want no troublemakers in my land.;;;;;;;;;x 
EVTDESC_TOG_4002;The Vikings under Palnatoke have finished their stronghold in [Root.Location.GetName] and the warrior brotherhood have established it as their headquarters. Henceforth the new castle shall be known as Jomsborg.;;;;;;;;;x 
EVTOPTA_TOG_4002;So be it.;;;;;;;;;x 
EVTNAME_TOG_4003;The Jomsvikings;;;;;;;;;x 
EVTDESC_TOG_4003;A band of fierce Vikings have established a warrior brotherhood in [From.Location.GetName] along the Baltic coast. Based in a castle known as Jomsborg, these Jomsvikings are devoted to Thor, Odin and the other Norse gods. They brook no quarter on the battlefield and will permit only the strongest and ablest warriors amongst their number.\n\nThough there are those who would dismiss them as simple brigands, the Jomsvikings have vowed to defend all Norse lands being encroached by Christendom or other foreign religions.;;;;;;;;;x 
EVTOPTA_TOG_4003;Their place in Valhalla is assured.;;;;;;;;;x 
EVTOPTB_TOG_4003;Let us hope those zealots steer clear of us.;;;;;;;;;x 
EVTDESC_TOG_4006;I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of Wolgast, I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
d_jomsvikings;Jomsvikings;;;;;;;;;x 
d_jomsvikings_adj;Jomsviking;;;;;;;;;x 
WARCHIEF;Warchief;;;;;;;;;x 
WARCHIEF_FOA;Master;;;;;;;;;x 
jomsvikings_founded;The Jomsvikings are founded.;;;;;;;;;x 
title_champion;Champion;;;;;;;;;x 
title_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honor for mortal men to aspire to.;;;;;;;;;x 
title_master_of_the_blade;Master of the Blade;;;;;;;;;x 
title_master_of_the_blade_desc;The Master of the Blade is a prestigious honorific usually granted to those with demonstrated ability in swordsmanship.;;;;;;;;;x 
title_master_of_the_bow;Master of the Bow;;;;;;;;;x 
title_master_of_the_bow_desc;The Master of the Bow is a prestigious honorific usually granted to those with demonstrated ability in bowmanship.;;;;;;;;;x 
title_venerable_elder;Venerable Elder;;;;;;;;;x 
title_venerable_elder_desc;This honorific can only be granted to those who have reached the age of fifty. Their wisdom and the sorely needed guidance they offer the younger generations is deserving of great respect.;;;;;;;;;x 
#vassal_sacrifice_decision;Sacrifice [Root.GetTitledFirstName];;;;;;;;;x 
vassal_sacrifice_decision_desc;Have your priests sacrifice [Root.GetTitledFirstName] to the gods.;;;;;;;;;x 
EVTDESC_SSI_072;Your priests have sacrificed [From.GetTitledName] to the gods! After bringing [From.GetHerHim] to one of our new temple pyramids, the priests placed [From.GetFirstName] on an altar and sliced [From.GetHerHim] open with a ceremonial dagger. They then tore out [From.GetHerHis] still beating heart to the cheers of your assembled warriors.;;;;;;;;;x 
EVTOPTA_SSI_072;The gods will be pleased.;;;;;;;;;x 
EVTOPTB_SSI_040;This land now belongs to us.;;;;;;;;;x 
EVTOPTB_SSI_070;A small gift from us. Think nothing of it.;;;;;;;;;x 
EVTOPTB_SSI_071;These Easterners spread disease like vermin!;;;;;;;;;x 
EVTOPTB_SSI_030;In time, their empire will crumble before us.;;;;;;;;;x 
EVTOPTB_SSI_031;Good tidings from home!;;;;;;;;;x 
EVTOPTB_SSI_035;It is well to see things becoming more like home.;;;;;;;;;x 
EVTDESC_TOG_5000;The mere sight of [From.GetTitledFirstName] fills you with contempt. Challenge the cur to holmgang, a single combat duel, to finally settle your differences once and for all.;;;;;;;;;x 
EVTOPTA_TOG_5000;Yes, I will issue the challenge!;;;;;;;;;x 
EVTOPTB_TOG_5000;No, I might actually lose...;;;;;;;;;x 
EVTDESC_TOG_5001;That mad dog [From.GetTitledFirstName] has somehow summoned up the courage to challenge you to holmgang! If you accept, you and [From.GetFirstName] will meet in single combat on a small islet. If you refuse this duel, it will be seen as a stain upon your honor.;;;;;;;;;x 
EVTOPTA_TOG_5001;By [This.Religion.GetRandomGodName], I accept the challenge!;;;;;;;;;x 
EVTOPTB_TOG_5001;I... I need not prove myself against that fool.;;;;;;;;;x 
EVTDESC_TOG_5002;[From.GetTitledFirstName] sends word that he accepts your challenge! One week from now, the two of you shall meet in combat. There is no turning back at this point.;;;;;;;;;x 
EVTOPTA_TOG_5002;I shall count the days.;;;;;;;;;x 
EVTDESC_TOG_5003;The coward [From.GetTitledFirstName] has decided to refuse your challenge and will not face you in holmgang! At least now the spineless fool's utter lack of honor has been exposed for all to see.;;;;;;;;;x 
EVTOPTA_TOG_5003;I am not surprised.;;;;;;;;;x 
EVTDESC_TOG_5004;It is still dawn when you meet [From.GetTitledFirstName] on the small islet chosen for the holmgang. Surrounded by witnesses, you grab your shield and axe while your opponent does the same. After hurling insults at each other for a few minutes, the battle is finally joined!;;;;;;;;;x 
EVTOPTA_TOG_5004;My axe will carve you a new smile!;;;;;;;;;x 
EVTDESC_TOG_5005;With a mighty blow from your axe, you split your opponent's shield in half. Without a shield to hide behind, [FromFrom.GetFirstName] desperately swings his axe at your face. Though you quickly pull away, you can feel blood trickling down your face. Annoyed, you charge at [FromFrom.GetFirstName] and inflict several wounds before he yields.;;;;;;;;;x 
EVTOPTA_TOG_5005;Victory is mine.;;;;;;;;;x 
EVTDESC_TOG_5006;With a mighty blow from your axe, you split your opponent's shield in half. Without a shield to hide behind, [FromFrom.GetFirstName] desperately swings his axe at your face. Though you quickly pull away, you can feel blood trickling down your face from a gash. Annoyed, you land one final blow on [FromFrom.GetFirstName] and cleave his head with your axe.;;;;;;;;;x 
EVTDESC_TOG_5007;[FromFrom.GetFirstName] immediately charges at you with his axe, but you deftly deflect his blows with your shield. You bash him with it several times in the face, and he staggers backwards in pain. Before he can fully recover, you catch him with several swings of your axe and he yields.;;;;;;;;;x 
EVTDESC_TOG_5008;[FromFrom.GetFirstName] immediately hurls himself at you, but you block his flurry of blows with your shield. You use it to heave him in an arc over your shoulder, and as he sails towards the ground behind you, you swiftly turn around and connect the blade of your axe with his throat. [FromFrom.GetFirstName] is dead before he hits the ground - a clean kill.;;;;;;;;;x 
EVTDESC_TOG_5009;You bang your axe against your shield several times and set off towards [FromFrom.GetFirstName] with a mighty battle cry. As you draw near, the color seems to drain from your opponent's face and he drops his shield and axe with a terrified shriek. He leaps into the water and swims away from the islet, his frail nerves having failed him.;;;;;;;;;x 
EVTDESC_TOG_5010;You and your opponent launch yourselves upon one another, and wood splinters fly in every direction as axe connects with shield. You seem evenly matched, and the fighting drags on. When the sun begins to set, you are both bleeding from multiple wounds and neither of you can stand upright. The duel is declared a draw.;;;;;;;;;x 
EVTOPTA_TOG_5010;Well fought.;;;;;;;;;x 
EVTDESC_TOG_5011;As [FromFrom.GetFirstName] advances on you menacingly with his shield and axe held ready, you are overcome with a terror the likes of which you have never before experienced. Tossing your weapons aside, you run in blind panic towards the water and leap into it with the only goal of getting off the islet alive.;;;;;;;;;x 
EVTOPTA_TOG_5011;The better part of valor! The better part of valor!;;;;;;;;;x 
EVTDESC_TOG_5012;The battle begins and you swing at [FromFrom.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, your opponent lands a heavy blow with his own weapon in your flank. Wounded, you collapse to the ground with no choice but to yield.;;;;;;;;;x 
EVTOPTA_TOG_5012;I... yield.;;;;;;;;;x 
EVTDESC_TOG_5013;The battle begins and you swing at [FromFrom.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, your opponent lands a heavy blow with his own weapon in your flank. Badly maimed, you collapse to the ground with no choice but to yield.;;;;;;;;;x 
EVTDESC_TOG_5014;The battle begins and you swing at [FromFrom.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, there is a sharp pain and you look down only to find your opponent's axe buried deep inside your gut. You sink to your knees as darkness overtakes you...;;;;;;;;;x 
EVTOPTA_TOG_5014;Valhalla awaits me...;;;;;;;;;x 
EVTDESC_TOG_5018;It is still dawn when you meet [FromFrom.GetTitledFirstName] on the small islet chosen for the holmgang. Surrounded by witnesses, you grab your shield and axe while your opponent does the same. After hurling insults at each other for a few minutes, the battle is finally joined!;;;;;;;;;x 
EVTDESC_TOG_5020;With a mighty blow from your axe, you split your opponent's shield in half. Without a shield to hide behind, [From.GetFirstName] desperately swings his axe at your face. Though you quickly pull away, you can feel blood trickling down your face. Annoyed, you charge at [From.GetFirstName] and inflict several wounds before he yields.;;;;;;;;;x 
EVTDESC_TOG_5021;With a mighty blow from your axe, you split your opponent's shield in half. Without a shield to hide behind, [From.GetFirstName] desperately swings his axe at your face. Though you quickly pull away, you can feel blood trickling down your face from a gash. Annoyed, you land one final blow on [From.GetFirstName] and cleave his head with your axe.;;;;;;;;;x 
EVTDESC_TOG_5022;[From.GetFirstName] immediately charges at you with his axe, but you deftly deflect his blows with your shield. You bash him with it several times in the face, and he staggers backwards in pain. Before he can fully recover, you catch him with several swings of your axe and he yields. Victory is yours!;;;;;;;;;x 
EVTDESC_TOG_5023;[From.GetFirstName] immediately hurls himself at you, but you block his flurry of blows with your shield. You use it to heave him in an arc over your shoulder, and as he sails towards the ground behind you, you swiftly turn around and connect the blade of your axe with his throat. [From.GetFirstName] is dead before he hits the ground - a clean kill.;;;;;;;;;x 
EVTDESC_TOG_5024;You bang your axe against your shield several times and set off towards [From.GetFirstName] with a mighty battle cry. As you draw near, the color seems to drain from your opponent's face and he drops his shield and axe with a terrified shriek. He leaps into the water and swims away from the islet, his frail nerves having failed him.;;;;;;;;;x 
EVTDESC_TOG_5026;As [From.GetFirstName] advances on you menacingly with his shield and axe held ready, you are overcome with a terror the likes of which you have never before experienced. Tossing your weapons aside, you run in blind panic towards the water and leap into it with the only goal of getting off the islet alive.;;;;;;;;;x 
EVTDESC_TOG_5027;The battle begins and you swing at [From.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, your opponent lands a heavy blow with his own weapon in your flank. Wounded, you collapse to the ground with no choice but to yield.;;;;;;;;;x 
EVTDESC_TOG_5028;The battle begins and you swing at [From.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, your opponent lands a heavy blow with his own weapon in your flank. Badly maimed, you collapse to the ground with no choice but to yield.;;;;;;;;;x 
EVTDESC_TOG_5029;The battle begins and you swing at [From.GetFirstName], but he manages to block you at the last instant and your axe plants itself firmly in his shield. As you struggle to pull it free, there is a sharp pain and you look down only to find your opponent's axe buried deep inside your gut. You sink to your knees as darkness overtakes you...;;;;;;;;;x 
holmgang_chances_great;Your chances of winning are great.;;;;;;;;;x 
holmgang_chances_very_good;Your chances of winning are very good.;;;;;;;;;x 
holmgang_chances_good;Your chances of winning are good.;;;;;;;;;x 
holmgang_chances_even;You seem evenly matched.;;;;;;;;;x 
holmgang_chances_poor;Your chances of winning are poor.;;;;;;;;;x 
holmgang_chances_very_poor;Your chances of winning are very poor.;;;;;;;;;x 
holmgang_chances_terrible;Your chances of winning are awful.;;;;;;;;;x 
EVTTOOLTIP_TOG_5000;Challenged to Holmgang!;;;;;;;;;x 
no_holmgang;You refrain from issuing the challenge.;;;;;;;;;x 
holmgang_prepare;You prepare yourself for the upcoming holmgang.;;;;;;;;;x 
EVTTOOLTIP_TOG_5002;You accept his challenge.;;;;;;;;;x 
EVTTOOLTIP_TOG_5003;You refuse his challenge.;;;;;;;;;x 
EVTNAME200;[Root.Religion.GetCrusadeName] for [From.GetBaseName]!;;;;;;;;;x 
EVTDESC200;His Holiness, [Root.GetTitledFirstName], has been swayed by the cries for help from the Christian population in the [From.GetFullName]. He urges all able-bodied men of Europe to take up arms against the evil [New.GetTitledName] in order to secure [From.GetName] from the clutches of the Mahommedan infidels.\n\n God will grant the pilgrims remission of sins in Heaven!;;;;;;;;;x 
EVTDESC201;His Holiness, [Root.GetTitledFirstName], is worried about the state of the souls in the [From.GetFullBaseName]. The heathens under [New.GetTitledName] have no hope for salvation and will suffer the eternal fires unless they can be brought to Christ in this life. Any Christian so willing is offered complete absolution of sins in the armed mission against the [New.Religion.GetName] barbarians!;;;;;;;;;x 
EVTDESC321;The [From.GetFullBaseName] is afflicted with the scourge of Heresy. His Holiness, [Root.GetTitledFirstName], has decided that the impure [New.GetTitledName] and [New.GetPossPronoun] fallen followers must be Cleansed before this black stain spreads any further!;;;;;;;;;x 
EVTOPTA200;Deus Vult!;;;;;;;;;x 
EVTOPTB200;That's no concern of ours...;;;;;;;;;x 
EVTOPTC200;Foolish Infidels!;;;;;;;;;x 
EVTOPTD200;To Arms!;;;;;;;;;x 
EVTOPTE200;What Terrible News!;;;;;;;;;x 
EVTDESC320;The great [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to call a Jihad against the Kafirs in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to take up arms against the depraved [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;;;;;;;;;x 
EVTOPTA320;Allahu Akbar!;;;;;;;;;x 
EVTDESC322;The [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to declare Jihad on the depraved heathens in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to partake in the righteous struggle against [New.GetTitledName] for the glory of Islam.\n\n Allah is great!;;;;;;;;;x 
EVTDESC323;The most righteous [Root.Religion.GetName] [Root.GetTitledFirstName] is deeply concerned with the straying people of the [From.GetFullBaseName], many of whom barely deserve being called Muslims. He urges all true ([Root.Religion.GetName]) Muslims to aid in the struggle against the heretic [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;;;;;;;;;x 
EVTDESC324;The mighty [Root.GetTitledFirstName] has decided that it is time to teach [New.GetTitledName] and the believers in the dead crucified god another lesson in humility. All free [Root.Religion.GetName] men are invited to partake in the scouring of the [From.GetFullBaseName]!\n\n [Root.Religion.GetRandomGodNameCap] is with us!;;;;;;;;;x 
EVTOPTA324;For [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC325;[Root.GetTitledFirstName] has had a vision from [Root.Religion.GetRandomGodName], ordering [Root.GetObjectPronoun] to declare a great [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the cawing followers of the mad Arab. All free [Root.Religion.GetName] men are invited to feast in their holy places!\n\n [Root.Religion.GetRandomGodNameCap] is mighty!;;;;;;;;;x 
EVTDESC326;The omens are clear - [Root.GetTitledFirstName] has declared [Root.Religion.GetCrusadeName] on [New.GetTitledName] and the followers of [New.Religion.GetRandomGodName] in the [From.GetFullBaseName]! All free [Root.Religion.GetName] men are encouraged to aid in the conquest of their holy places!\n\n [Root.Religion.GetRandomGodNameCap] will strike down their '[New.Religion.GetRandomGodName]'!;;;;;;;;;x 
opinion_mutual_respect;Grudging Mutual Respect;;;;;;;;;x 
GREAT_HOLY_WAR;Great Holy War;;;;;;;;;x 
roman;Roman;;;;;;;;;x 
maghreb_arabic;Amazigh;;;;;;;;;x 
EVTDESC39600;[From.GetTitledFirstName], a preacher in the service of [From.Liege.GetTitledName], has arrived in [From.Location.GetName] to spread the gospel of their foreign religion. He has little regard for our old faith, declaring it sinful, and he has explained in detail the horrors we shall suffer in the afterlife unless we mend our ways.;;;;;;;;;x 
EVTOPTA39600;There are horrors to suffer in this life as well, friend...;;;;;;;;;x 
EVTOPTB39600;Tell us more of [From.Religion.GetRandomGodName].;;;;;;;;;x 
EVTDESC39601;[From.GetTitledFirstName] has continued preaching his religion in [From.Location.GetName], and he seems to be gathering a larger and larger audience. After listening to one of his sermons, you have to admit that the new faith may have some advantages...;;;;;;;;;x 
EVTOPTA39601;The time has come to embrace [From.Religion.GetRandomGodName].;;;;;;;;;x 
EVTOPTB39601;No, the old ways are best! Banish the preacher!;;;;;;;;;x 
EVTDESC39602;[From.GetTitledFirstName] has fallen under the sway of [FromFrom.GetTitledFirstName] and the religion he preaches. After listening to the [FromFrom.GetTitle]'s sermons, [From.GetFirstName] has completely abandoned the old ways, and now only offers prayers to [FromFrom.Religion.GetRandomGodName].;;;;;;;;;x 
EVTOPTA39602;The poison that preacher spreads ends here!;;;;;;;;;x 
EVTOPTB39602;To each their own.;;;;;;;;;x 
EVTDESC39603;You come upon [From.GetTitledFirstName] and [FromFrom.GetTitledFirstName] wrestling like children on the ground and screaming obscenities at each another. It would seem the two preachers have had a difference of opinion. As soon as they see you, they stop what they're doing and both immediately demand the expulsion of the other.;;;;;;;;;x 
EVTOPTA39603;Side with [From.GetFirstName]. Banish [FromFrom.GetFirstName].;;;;;;;;;x 
EVTOPTB39603;Side with [FromFrom.GetFirstName]. Banish [From.GetFirstName].;;;;;;;;;x 
EVTOPTC39603;I refuse to have any part in this petty quarrel.;;;;;;;;;x 
EVTDESC39604;My liege, I have arrived safely in [From.Location.GetName] and the local ruler has given me permission to remain here and spread the true faith. May [From.Religion.GetRandomGodName] grant me the strength to endure the heathen ways of these savages...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA39604;Best of luck.;;;;;;;;;x 
EVTDESC39605;Soon after [FromFrom.GetTitledFirstName] arrived in [FromFrom.Location.GetName], [From.GetTitledFirstName] ordered his imprisonment. Your [Root.GetLordSpiritualName] is now languishing in the dungeons of this pagan lord. Who can tell what the savages will do to him?;;;;;;;;;x 
EVTOPTA39605;Vile heathens!;;;;;;;;;x 
EVTDESC39606;My liege, I bring good news! Thanks to my efforts, [FromFrom.GetTitledFirstName] has seen the light and converted to the true faith. I shall return to your court forthwith, as my work here is done.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA39606;Another heathen converted.;;;;;;;;;x 
EVTDESC39607;My liege, I bring bad news. Although I seemed to be making progress in encouraging [FromFrom.GetTitledFirstName] to abandon [From.GetHerHis] heathen ways, [FromFrom.GetSheHe] had a sudden change of heart. I have been banished from [FromFrom.Location.GetName], and I say good riddance! Let these stubborn savages suffer the eternal horror that await them in the afterlife!\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA39607;Very unfortunate.;;;;;;;;;x 
EVTDESC39608;You have received word that [From.GetTitledFirstName] has been imprisoned by [FromFrom.GetTitledFirstName]. It seems the [FromFrom.GetTitle] took offense when your [Root.GetLordSpiritualName] converted one of [FromFrom.GetHerHis] courtiers away from heathenry.;;;;;;;;;x 
EVTOPTA39608;That fool should be thankful!;;;;;;;;;x 
EVTDESC39609;My liege, that vile savage [FromFrom.GetTitledFirstName] has banished me from [FromFrom.GetHerHis] lands! I got into a minor... dispute with a preacher who was there to spread his faith at the behest of another lord, and [FromFrom.GetFirstName] foolishly took his side.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA39609;That will cost [FromFrom.GetHerHim]!;;;;;;;;;x 
opinion_imprisoned_missionary;Imprisoned Missionary;;;;;;;;;x 
opinion_allowed_missionary;Allowed Missionary;;;;;;;;;x 
opinion_banished_missionary;Banished Missionary;;;;;;;;;x 
opinion_sent_preacher;Sent Unsolicited Preacher;;;;;;;;;x 
preacher_imprisoned;You throw the preacher into your dungeons.;;;;;;;;;x 
preacher_allowed;You allow the preacher to continue his missionary work.;;;;;;;;;x 
preacher_banished;You banish the preacher from your lands.;;;;;;;;;x 
preacher_convert;You and your closest family convert to the new faith, and a new religious advisor appears at your court.;;;;;;;;;x 
opinion_did_not_support_preacher;Sided Against My Cleric;;;;;;;;;x 
opinion_supported_preacher;Sided With My Cleric;;;;;;;;;x 
RELIGIOUS_TITLE_CREATION;Create $TITLE$;;;;;;;;;x 
EVTDESC39650;You have arrived at [Root.Location.GetName] to convert the local populace to the true faith.;;;;;;;;;x 
EVTOPTA39650;Embrace [Root.Religion.GetRandomGodName] before it is too late, heathens!;;;;;;;;;x 
EVTTOOLTIP39600;Informed of your arrival.;;;;;;;;;x 
EVTDESC39651;You have seen the local pagan lord paying special attention to your sermons lately. Could a conversion be at hand?;;;;;;;;;x 
EVTOPTA39651;Let us pray it is so...;;;;;;;;;x 
EVTDESC39652;Through your efforts, you have managed to convert one of the local pagan lord's courtiers to the true faith. Surely this is an important stepping stone on the way to salvation for all of [Root.Location.GetName]!;;;;;;;;;x 
EVTOPTA39652;Praised be [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC39653;You come to blows with another cleric who has also come to [Root.Location.GetName] to convert the people to his own faith!;;;;;;;;;x 
EVTOPTA39653;Not in the face!;;;;;;;;;x 
EVTNAME_TOG_6000;The Saoshyant;;;;;;;;;x 
EVTDESC_TOG_6000;Ever since the Sassanid Empire succumbed to the Arab invasions, Persia has suffered under the yoke of Mohammedan rulers. The last remnants of the old Zoroastrian order retreated north into the plains of Central Asia, but now, at long last, Zoroastrian rule over Persia has been restored.\n\nThis miraculous recovery can be attributed to your brilliant leadership, and there are many amongst the clergy who have decreed you to be the Saoshyant ?the savior of the world that Zoroaster himself spoke of thousands of years ago. After embracing this role, you are now revered as a holy icon by Zoroastrians everywhere.;;;;;;;;;x 
EVTOPTA_TOG_6000;I shall bring benefit to all.;;;;;;;;;x 
nick_the_saoshyant;the Saoshyant;;;;;;;;;x 
saoshyant;Saoshyant;;;;;;;;;x 
