#CODE;ENGLISH;;;;;;;;;x 
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;;;;;;;;;x 
EVTDESC7771;[From.GetTitledFirstName] approves of my plan to arrange for [From.PlotTarget.GetTitledFirstName] to perish in a botched prison escape attempt.;;;;;;;;;x 
EVTDESC7772;I have been told by [From.GetTitledFirstName] that the days of [From.PlotTarget.GetTitledFirstName] are numbered. A man on the inside of the prison where [From.PlotTarget.GetSheHe] is will arrange a prison break that will sadly result in a fatality.;;;;;;;;;x 
EVTDESC7773;Success! [From.GetTitledFirstName] was killed while attempting to escape from prison! Unfortunately, the man on the inside who made this happen mentioned my name when he was captured...;;;;;;;;;x 
EVTDESC7774;Success! [From.GetTitledFirstName] was killed while attempting to escape from prison! No fingers will be pointed my way.;;;;;;;;;x 
EVTOPTA7774;Sentence commuted!;;;;;;;;;x 
EVTDESC7775;Failure! [From.GetTitledFirstName] refused to take the bait and attempt an escape. My role in this plot was inadvertently revealed by our man on the inside...;;;;;;;;;x 
EVTOPTA7775;Damnation!;;;;;;;;;x 
EVTDESC7776;Failure! [From.GetTitledFirstName] refused to take the bait and attempt an escape. At least no one suspects my role in this.;;;;;;;;;x 
EVTDESC7780;[Root.PlotTarget.GetTitledName] may be a drooling, incapable mess, but [Root.PlotTarget.GetSheHe] is still very much alive. Every month servants give [Root.PlotTarget.GetHerHim] a sorely needed bath, during which so many things could go wrong... especially if those servants were in our employ.;;;;;;;;;x 
EVTOPTA7780;My co-conspirators will talk to the servants...;;;;;;;;;x 
EVTOPTB7780;Bribe servants;;;;;;;;;x 
EVTOPTC7780;Arrange for the servants to be replaced with your own.;;;;;;;;;x 
EVTDESC7782;I have received a request from my co-conspirator, [From.GetTitledName], to provide funds necessary to bribe the servants giving [Root.PlotTarget.GetTitledName] [Root.PlotTarget.GetHerHis] monthly bath. If paid, they will arrange for a tragic accident...;;;;;;;;;x 
EVTOPTA7782;Devious. I like it.;;;;;;;;;x 
EVTDESC7783;[From.GetTitledFirstName] has provided, and now I have the funds needed to bribe the servants giving [Root.PlotTarget.GetTitledFirstName] [Root.PlotTarget.GetHerHis] monthly bath.;;;;;;;;;x 
EVTDESC7784;[From.GetTitledFirstName] refuses to provide the funds needed to bribe the servants giving [Root.PlotTarget.GetTitledFirstName] [Root.PlotTarget.GetHerHis] monthly bath.;;;;;;;;;x 
EVTDESC7785;The stench of the drooling, incapable mass that is your body troubles even you, and to the delight of everyone around, the time of your monthly bath has finally arrived. Servants lower you into your bathtub and begin the long, arduous process of scrubbing away your filth...;;;;;;;;;x 
EVTOPTA7785;*relieve yourself in the bathtub*;;;;;;;;;x 
EVTOPTB7785;W-wait... t-those servants look unfamiliar...;;;;;;;;;x 
EVTTOOLTIP7785;Arrange for [This.GetTitledFirstName] to be drowned during [This.GetHerHis] monthly bath.;;;;;;;;;x 
EVTDESC7786;The servants suddenly push your head under the surface and hold you down. You flail your arms about desperately with what little motor function you still possess, but it is to no avail. As the water rushes into your lungs and your life fades away, you regret lost opportunities, harsh words to loved ones and most importantly: relieving yourself in the bathtub.;;;;;;;;;x 
EVTOPTA7786;[FromFrom.GetTitledName] bribed these servants...;;;;;;;;;x 
EVTOPTA7787;Who bribed these servants?;;;;;;;;;x 
EVTDESC7788;The servants suddenly try to push your head below the water! You muster what little energy you have and trash about wildly, causing enough of a ruckus to attract the attention of a guard. The servants are detained and reveal under torture who bribed them to end your life.;;;;;;;;;x 
EVTOPTA7788;So it was [FromFrom.GetTitledName]!;;;;;;;;;x 
EVTDESC7789;The servants suddenly try to push your head below the water! You muster what little energy you have and trash about wildly, causing enough of a ruckus to attract the attention of a guard. The servants flee before they can be caught.;;;;;;;;;x 
EVTOPTA7789;Who bribed them to kill me?;;;;;;;;;x 
EVTDESC7790;The servants who will give [Root.PlotTarget.GetTitledFirstName] [Root.PlotTarget.GetHerHis] monthly bath have been bribed by my co-conspirator, [From.GetTitledFirstName]. They will see to it that this bath is [Root.PlotTarget.GetHerHis] last...;;;;;;;;;x 
EVTOPTA7790;Commendable initiative!;;;;;;;;;x 
EVTDESC7791;[From.GetTitledFirstName] lends his full support behind my initiative to bribe the servants giving [From.PlotTarget.GetTitledFirstName] [From.PlotTarget.GetHerHis] bath.;;;;;;;;;x 
EVTDESC7792;[From.GetTitledFirstName] sends word that the servants giving the incapable [From.PlotTarget.GetTitledFirstName] [From.PlotTarget.GetHerHis] bath have been bribed and will see to it that it is [From.PlotTarget.GetHerHis] last.;;;;;;;;;x 
EVTDESC7793;Success! [From.GetTitledFirstName] was drowned in [From.GetHerHis] bathtub! Unfortunately, the servants we bribed for the deed revealed my complicity under torture.;;;;;;;;;x 
EVTDESC7794;Success! [From.GetTitledFirstName] was drowned in [From.GetHerHis] bathtub! No one suspects the conspiracy behind this deed.;;;;;;;;;x 
EVTOPTA7794;Yet another argument against taking baths.;;;;;;;;;x 
EVTDESC7795;Failure! Even incapable, [From.GetTitledFirstName] managed to ward off the clumsy attempts of the servants to drown [From.GetHerHim]. The servants revealed my name under torture.;;;;;;;;;x 
EVTOPTA7795;Well, that's no good.;;;;;;;;;x 
EVTDESC7796;Failure! Even incapable, [From.GetTitledFirstName] managed to ward off the clumsy attempts of the servants to drown [From.GetHerHim]. At least they had the good sense to avoid getting caught.;;;;;;;;;x 
DEATH_YESTERDAY_FLANK;Yesterday's losses on this Flank;;;;;;;;;x 
NO_PRESTIGE_MUSLIM_MARRIAGE;Muslims do not receive or lose prestige for marriages;;;;;;;;;x 
CIW_GOTODIPLO;Go to diplomacy\nRight-click to open Submenu;;;;;;;;;x 
CIW_GOTOCHAR;Go to character\nRight-click to open Submenu;;;;;;;;;x 
OFFER_MARRIGE_INTERACTION_MUSLIM;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married.;;;;;;;;;x 
EVTDESC7800;Whispers have reached my ears that [Root.PlotTarget.GetTitledName] is due to embark on a little boat trip. I have it on good authority that [Root.PlotTarget.GetSheHe], like many children, has not yet learned to swim. If the boat was to flounder... well, these things happen all the time, don't they?;;;;;;;;;x 
EVTOPTA7800;My co-conspirators will find some good men...;;;;;;;;;x 
EVTOPTB7800;Hire men to sabotage the boat;;;;;;;;;x 
EVTOPTC7800;I know just the men for this job...;;;;;;;;;x 
EVTDESC7802;My co-conspirator, [From.GetTitledName], is requesting funds to hire a few carpenters who will sabotage a boat that [Root.PlotTarget.GetTitledName] is soon to take a trip onboard. The child does not know how to swim...;;;;;;;;;x 
EVTOPTA7802;Send the money... and I really must learn how to swim some day.;;;;;;;;;x 
EVTDESC7803;[From.GetTitledFirstName] has sent me the money I asked for to hire carpenters. They will prepare the boat before [From.PlotTarget.GetTitledFirstName] boards it.;;;;;;;;;x 
EVTDESC7804;[From.GetTitledFirstName] will not give me the necessary coin to hire carpenters. They were needed to prepare the boat before [From.PlotTarget.GetTitledFirstName] boards it.;;;;;;;;;x 
EVTDESC7805;It is a beautiful day as you make your way down to the local harbor with a handful of servants. You will be going on a short boat trip today, something that has you very excited. The vessel awaits at the dock, ready to take you on.;;;;;;;;;x 
EVTOPTA7805;This is going to be great!;;;;;;;;;x 
EVTOPTB7805;Is... is that thing seaworthy?;;;;;;;;;x 
EVTTOOLTIP7805;Sabotage the boat [This.GetTitledFirstName] is due to travel on.;;;;;;;;;x 
EVTDESC7806;The little boat sails off and you spend some time alone by the railing, staring down into the deep, murky water. Suddenly there is shouting behind you and the boat flounders, sending you into the cold water! You desperately try to stay afloat, but without knowing how to swim, you soon sink beneath the waves...;;;;;;;;;x 
EVTOPTA7806;The boat was sabotaged by [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA7807;Someone sabotaged the boat...;;;;;;;;;x 
EVTDESC7808;Upon closer inspection at your request, the sailors find that the boat has been tampered with! Had it set sail, it would surely have floundered, taking you with it below the waves.;;;;;;;;;x 
EVTOPTA7808;[FromFrom.GetTitledFirstName] had his men sabotage the boat!;;;;;;;;;x 
EVTOPTA7809;Who is responsible?;;;;;;;;;x 
EVTDESC7810;My co-conspirator, [From.GetTitledFirstName], has let me know that everything has been prepared for a little boating accident [Root.PlotTarget.GetTitledFirstName] is soon to be the victim of.;;;;;;;;;x 
EVTOPTA7810;Ship ahoy!;;;;;;;;;x 
EVTDESC7811;[From.GetTitledFirstName] sends [From.GetHerHis] approval for the sabotage of the boat that will carry [From.PlotTarget.GetTitledFirstName] to [From.PlotTarget.GetHerHis] watery grave. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7812;[From.GetTitledFirstName] has informed me that the plot to kill [From.PlotTarget.GetTitledFirstName] is moving forward according to plan. A month from now [From.PlotTarget.GetSheHe] will be lost forever in an unfortunate boating accident...;;;;;;;;;x 
EVTDESC7813;Success! [From.GetTitledFirstName] sank like a stone when the boat [From.GetSheHe] was on suffered an unfortunate "accident"! Sadly, it has become obvious the boat suffered sabotage, and all the evidence leads back to me...;;;;;;;;;x 
EVTDESC7814;Success! [From.GetTitledFirstName] sank like a stone when the boat [From.GetSheHe] was on suffered an unfortunate "accident"! All evidence of my complicity went down with the ship!;;;;;;;;;x 
EVTOPTA7814;Man overboard!;;;;;;;;;x 
EVTDESC7815;Failure! Somehow [From.GetTitledFirstName] discovered the sabotage and the boat never left port. That meddlesome child has linked the evidence back to me...;;;;;;;;;x 
EVTOPTA7815;It would have worked...;;;;;;;;;x 
EVTDESC7816;Failure! Somehow [From.GetTitledFirstName] discovered the sabotage and the boat never left port. At least the foolish child has no reason to suspect my involvement.;;;;;;;;;x 
EVTDESC7820;There are snakes out there who can fell a grown man instantly with a single bite. If such a one was to visit [Root.PlotTarget.GetTitledName] in [Root.PlotTarget.GetHerHis] bedchambers at night...;;;;;;;;;x 
EVTOPTA7820;My co-conspirators will procure the snake...;;;;;;;;;x 
EVTOPTB7820;Buy snake;;;;;;;;;x 
EVTOPTC7820;I know where to get this snake...;;;;;;;;;x 
EVTDESC7822;My co-conspirator, [From.GetTitledName], has asked for coin to buy a rare and extremely lethal snake. If purchased, it will pay [Root.PlotTarget.GetTitledName] a little nightly visit.;;;;;;;;;x 
EVTOPTA7822;Give [From.GetHerHim] the money. That serpent could be the answer to our prayers.;;;;;;;;;x 
EVTDESC7823;I have received the money from [From.GetTitledFirstName] to buy the snake. I will soon be introducing it to [From.PlotTarget.GetTitledFirstName]...;;;;;;;;;x 
EVTDESC7824;[From.GetTitledFirstName] says [From.GetSheHe] will not be sending the coin I need to procure this rare snake!;;;;;;;;;x 
EVTDESC7825;It has been a long day and it is with some relief that you retreat to your bedchamber for the night. Your bed is warm and just as you are about to drift off into sleep, you hear a strange hissing sound...;;;;;;;;;x 
EVTOPTA7825;A carpenter will need to look at this bed tomorrow.;;;;;;;;;x 
EVTOPTB7825;A snake!;;;;;;;;;x 
EVTTOOLTIP7825;Unleash a poisonous snake on [This.GetTitledFirstName] next month.;;;;;;;;;x 
EVTDESC7826;Something cold and scaly brushes past your naked leg, and as you sit up, you feel a sharp pain in your upper thigh. Pulling back the covers reveals a vicious, hissing snake! You stumble out of bed, but already your sight grows dimmer as the intense pain spreads throughout your body...;;;;;;;;;x 
EVTOPTA7826;That... that serpent belongs to [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA7827;I hate snakes!;;;;;;;;;x 
EVTDESC7828;You immediately roll out of bed before the vile serpent has a chance to strike. The beast recoils and disappears beneath the covers as you run out to fetch the guard.;;;;;;;;;x 
EVTOPTA7828;That snake belongs to [FromFrom.GetTitledFirstName]...;;;;;;;;;x 
EVTOPTA7829;Who brought that snake here?!;;;;;;;;;x 
EVTDESC7830;My co-conspirator, [From.GetTitledFirstName], has procured a poisonous viper, and sends word that it will soon dig its fangs into [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA7830;Just don't point that thing at me.;;;;;;;;;x 
EVTDESC7831;[From.GetTitledFirstName] is delighted to learn that [From.PlotTarget.GetTitledFirstName] is soon to be the victim of a savage snake attack. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7832;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. Within a month an extremely poisonous snake will be slipped into [From.PlotTarget.GetHerHis] bedchambers.;;;;;;;;;x 
EVTDESC7833;Success! The snake performed its duty with aplomb and pumped [From.GetTitledFirstName] full of its deadly venom. Unfortunately, the serpent was caught and the seller has revealed my complicity.;;;;;;;;;x 
EVTDESC7834;Success! The snake performed its duty with aplomb and pumped [From.GetTitledFirstName] full of its deadly venom. It slipped away into the night, and the guards are now too busy contending with a string of lethal snake attacks to search for those responsible.;;;;;;;;;x 
EVTOPTA7834;I could kiss that snake! Well, maybe not...;;;;;;;;;x 
EVTDESC7835;Failure! [From.GetTitledFirstName] managed to evade the snake, and the guards caught the serpent as it tried to slither away. The seller was identified and has revealed my complicity...;;;;;;;;;x 
EVTOPTA7835;I hate snakes.;;;;;;;;;x 
EVTDESC7836;Failure! [From.GetTitledFirstName] managed to evade the snake which slipped away into the darkness. A massive snake-hunt is now underway, but at least no one suspects my involvement.;;;;;;;;;x 
EVTDESC7840;[Root.PlotTarget.GetTitledName] likes to take in the morning air on [Root.PlotTarget.GetHerHis] balcony. The fall would be a long one indeed if someone was to take a tumble from there... perhaps the railing could be "adjusted" slightly.;;;;;;;;;x 
EVTOPTA7840;My co-conspirators will find someone who can get this done...;;;;;;;;;x 
EVTOPTB7840;Hire carpenter;;;;;;;;;x 
EVTOPTC7840;I know someone who can get this done...;;;;;;;;;x 
EVTDESC7842;My co-conspirator, [From.GetTitledName], is asking for funds to hire a specialist who will weaken the railing on a balcony that [Root.PlotTarget.GetTitledName] is known to frequent. The fall will be a long one...;;;;;;;;;x 
EVTOPTA7842;Make it happen!;;;;;;;;;x 
EVTDESC7843;[From.GetTitledFirstName] has sent the funds I needed. I can now hire a specialist to weaken the balcony's railing.;;;;;;;;;x 
EVTDESC7844;[From.GetTitledFirstName] refuses to provide the funds needed for hiring a specialist to weaken the balcony's railing.;;;;;;;;;x 
EVTDESC7845;Every morning, especially when the weather is as splendid as it is today, you like to go out on your balcony, lean against the railing and take in a deep breath of fresh air. The view from up here is spectacular.;;;;;;;;;x 
EVTOPTA7845;The people below look like ants!;;;;;;;;;x 
EVTOPTB7845;That railing doesn't look right...;;;;;;;;;x 
EVTTOOLTIP7845;Arrange for [This.GetTitledFirstName] to fall from [This.GetHerHis] balcony.;;;;;;;;;x 
EVTDESC7846;As you lean forward on the railing, you suddenly hear the sound of splintering wood as it gives way completely and you tumble over the edge. While plummeting towards the ground, you spend your last moments reflecting on the gravity of the situation.;;;;;;;;;x 
EVTOPTA7846;[FromFrom.GetTitledFirstName] had someone sabotage that railing!;;;;;;;;;x 
EVTOPTA7847;I will haunt the carpenter who built that railing...;;;;;;;;;x 
EVTDESC7848;You inspect the railing only to discover that someone has sawed through its supports! The slightest nudge would have been enough to make the whole thing topple over the side. Had you leaned against it as usual...;;;;;;;;;x 
EVTOPTA7848;[FromFrom.GetTitledFirstName] had someone sabotage that railing!;;;;;;;;;x 
EVTOPTA7849;Who would have done such a thing... and why?;;;;;;;;;x 
EVTDESC7850;My co-conspirator, [From.GetTitledFirstName], has hired someone to saw through the supports of the railing on a balcony [Root.PlotTarget.GetTitledFirstName] is known to frequent. Someone may soon take a bit of a tumble...;;;;;;;;;x 
EVTOPTA7850;Look out below!;;;;;;;;;x 
EVTDESC7851;[From.GetTitledName] approves of my idea to send [From.PlotTarget.GetTitledFirstName] flying off a balcony. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7852;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. The supports of the railing on a balcony [Root.PlotTarget.GetTitledFirstName] is known to frequent have been critically weakened.;;;;;;;;;x 
EVTDESC7853;Success! [From.GetTitledFirstName] fell to the ground like a piece of rotten fruit when the balcony railing gave way. Unfortunately, the carpenter who weakened it had second thoughts and revealed my involvement.;;;;;;;;;x 
EVTDESC7854;Success! [From.GetTitledFirstName] fell to the ground like a piece of rotten fruit when the balcony railing gave way. A tragic accident, as far as anyone is concerned.;;;;;;;;;x 
EVTOPTA7854;Gravity can be a cruel mistress.;;;;;;;;;x 
EVTDESC7855;Failure! [From.GetTitledFirstName] discovered the sabotage that had been done on the railing. The carpenter we used was detained and revealed my involvement under torture...;;;;;;;;;x 
EVTOPTA7855;I can't be blamed for building code violations...;;;;;;;;;x 
EVTDESC7856;Failure! [From.GetTitledFirstName] discovered the sabotage that had been done on the railing. At least [From.GetSheHe] is clueless as to who deserves the blame for this.;;;;;;;;;x 
EVTDESC7860;Young [Root.PlotTarget.GetTitledName] will soon be going on hunting trip to learn about the majesty of the wilds. With hounds and other dangerous beasts running around, not to mention arrows flying in every direction, so many things could go wrong during a hunt...;;;;;;;;;x 
EVTOPTA7860;My co-conspirators will bribe a hunter...;;;;;;;;;x 
EVTOPTB7860;Bribe hunter;;;;;;;;;x 
EVTOPTC7860;I have some leverage on one of the hunters...;;;;;;;;;x 
EVTDESC7862;My co-conspirator, [From.GetTitledName], has requested funds to bribe one of the hunters taking young [Root.PlotTarget.GetTitledName] on a hunting trip. An accident will be arranged...;;;;;;;;;x 
EVTOPTA7862;Very good. Send the money.;;;;;;;;;x 
EVTDESC7863;[From.GetTitledFirstName] has given me the gold I needed to bribe one of the hunters going out with [Root.PlotTarget.GetTitledName].;;;;;;;;;x 
EVTDESC7864;For some reason [From.GetTitledFirstName] refuses to provide the gold needed to bribe one of the hunters going out with [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x 
EVTDESC7865;You are very excited to be going on your first hunting trip! A skilled hunter will be taking you under his wing and teaching you how to hunt and survive in the wilds. The next couple of days will be one big adventure!;;;;;;;;;x 
EVTOPTA7865;I can't wait!;;;;;;;;;x 
EVTOPTB7865;Why is that hunter so nervous?;;;;;;;;;x 
EVTTOOLTIP7865;Arrange for [This.GetTitledFirstName] to perish in a hunting accident.;;;;;;;;;x 
EVTDESC7866;The hunter tracks a rabbit and gives you the first shot. As quietly as possible, you draw your bow, take aim and send an arrow into the small animal's flank. Filled with pride you turn around, only to see the hunter aiming his own bow at you, fully drawn. "I am sorry," he whispers before sending the arrow into your throat.;;;;;;;;;x 
EVTOPTA7866;Gghh... [FromFrom.GetTitledFirstName] got to you...;;;;;;;;;x 
EVTOPTA7867;W-why?;;;;;;;;;x 
EVTDESC7868;As the hunter's behavior becomes increasingly nervous and erratic you decide to confront him about it. Weeping he admits to having been paid a handsome sum to kill you during the hunt and make it look like an accident.;;;;;;;;;x 
EVTOPTA7868;So you were paid by [FromFrom.GetTitledFirstName]...;;;;;;;;;x 
EVTOPTA7869;And you say you never saw the face of your employer?;;;;;;;;;x 
EVTDESC7870;My co-conspirator, [From.GetTitledFirstName], has bribed a hunter taking [Root.PlotTarget.GetTitledFirstName] on a trip into the wilds to quietly dispatch the child and make it look like an accident. ;;;;;;;;;x 
EVTOPTA7870;They call it the wilds for a reason.;;;;;;;;;x 
EVTDESC7871;[From.GetTitledFirstName] is pleased to learn that [From.PlotTarget.GetTitledFirstName] will soon meet [From.GetHerHis] end in the wilds. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7872;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. A hunter taking the [From.PlotTarget.GetLadLass] on a trip to the wilds has been generously bribed to cause a tragic hunting accident.;;;;;;;;;x 
EVTDESC7873;Success! The hunter did what he was paid for and made sure [From.GetTitledFirstName] never returned from the hunting trip. Unfortunately, he later lost his nerve and told everyone willing to listen about my involvement as he drank away his sorrows.;;;;;;;;;x 
EVTDESC7874;Success! The hunter did what he was paid for and made sure [From.GetTitledFirstName] never returned from the hunting trip. He will keep quiet about his ghastly deed to save his own skin if nothing else.;;;;;;;;;x 
EVTOPTA7874;To hunt a man is truly the greatest sport...;;;;;;;;;x 
EVTDESC7875;Failure! That fool hunter lost his nerve and refused to kill [From.GetTitledFirstName]! What is more, he told the [From.PlotTarget.GetLadLass] everything about the conspiracy - including my involvement!;;;;;;;;;x 
EVTOPTA7875;I knew we couldn't trust him!;;;;;;;;;x 
EVTDESC7876;Failure! That fool hunter lost his nerve and refused to kill [From.GetTitledFirstName]! At least he has decided to keep quiet about the conspiracy to hide the shame of his own involvement.;;;;;;;;;x 
EVTDESC7880;[Root.PlotTarget.GetTitledName] will soon travel by carriage on an isolated road. Perhaps if we gathered some mercenaries and disguised them as highwaymen... crime is on the rise, after all.;;;;;;;;;x 
EVTOPTA7880;My co-conspirators will hire the mercenaries...;;;;;;;;;x 
EVTOPTB7880;Hire mercenaries;;;;;;;;;x 
EVTOPTC7880;I know the men for this job...;;;;;;;;;x 
EVTDESC7882;My co-conspirator, [From.GetTitledName], has asked for gold to hire some mercenaries. They will ambush [Root.PlotTarget.GetTitledName] disguised as highwaymen.;;;;;;;;;x 
EVTOPTA7882;Excellent idea! The gold is yours.;;;;;;;;;x 
EVTDESC7883;[From.GetTitledFirstName] has granted me the gold I asked for to hire mercenaries.;;;;;;;;;x 
EVTDESC7884;[From.GetTitledFirstName] will not be providing the gold I need to hire the mercenaries.;;;;;;;;;x 
EVTDESC7885;You are travelling by carriage in the countryside of [Root.Location.GetName] when it comes to a sudden halt. The road has been blocked by a fallen tree, and the coachman explains that you will have to make a slight detour on an isolated smaller path.;;;;;;;;;x 
EVTOPTA7885;Very well, but this had better not delay us!;;;;;;;;;x 
EVTOPTB7885;No, you fool! It's a trap!;;;;;;;;;x 
EVTTOOLTIP7885;Arrange for [This.GetTitledFirstName] to die in a roadside ambush.;;;;;;;;;x 
EVTDESC7886;After less than half a league on the small path, you are ambushed and surrounded by highwaymen! They send your driver on his way, explaining that their interest lies with you alone. You offer the belongings you carry with you, but they merely laugh at this - it is your blood they want.;;;;;;;;;x 
EVTOPTA7886;I see. Disguised mercenaries working for [FromFrom.GetTitledFirstName]...;;;;;;;;;x 
EVTOPTA7887;Y-you're not highwaymen!;;;;;;;;;x 
EVTDESC7888;You force your way through the improvised barricade, narrowly avoiding an ambush by highwaymen! They send an accurate volley of arrows after your carriage as it speeds away, missing it by mere inches.;;;;;;;;;x 
EVTOPTA7888;Only mercenaries in the employ of [FromFrom.GetTitledFirstName] are so precise...;;;;;;;;;x 
EVTOPTA7889;Too accurate for highwaymen. Only mercenaries are so precise...;;;;;;;;;x 
EVTDESC7890;My co-conspirator, [From.GetTitledFirstName], has assembled a party of mercenaries who will ambush [Root.PlotTarget.GetTitledFirstName] disguised as highwaymen. I am assured [Root.PlotTarget.GetSheHe] will not survive the encounter.;;;;;;;;;x 
EVTOPTA7890;Yes, the roads just aren't safe anymore...;;;;;;;;;x 
EVTDESC7891;[From.GetTitledFirstName] has communicated [From.GetHerHis] support for my plan to ambush [From.PlotTarget.GetTitledFirstName] with mercenaries disguised as highwaymen. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7892;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. A party of mercenaries in [From.GetHerHis] employ will ambush [From.PlotTarget.GetFirstName] disguised as mercenaries within a month.;;;;;;;;;x 
EVTDESC7893;Success! The mercenaries ambushed the carriage of [From.GetTitledFirstName] and made short work of [From.GetHerHim]. Unfortunately, the driver survived and saw through their disguises. My involvement is now public knowledge...;;;;;;;;;x 
EVTDESC7894;Success! The mercenaries ambushed the carriage of [From.GetTitledFirstName] and made short work of [From.GetHerHim]. They let the driver go, and he is convinced the attack was carried out by highwaymen.;;;;;;;;;x 
EVTOPTA7894;Oh, those nasty bandits!;;;;;;;;;x 
EVTDESC7895;Failure! [From.GetTitledFirstName] got away from the ambush, and [From.GetSheHe] saw through the disguises of the mercenaries, identifying them as men in my employ!;;;;;;;;;x 
EVTOPTA7895;The plan looked good on paper...;;;;;;;;;x 
EVTDESC7896;Failure! [From.GetTitledFirstName] got away from the ambush, but at least the disguises of the mercenaries held up, concealing my involvement.;;;;;;;;;x 
EVTDESC7900;[Root.PlotTarget.GetTitledName] will soon embark on a lengthy journey by carriage, during which so many things could go wrong. If we could buy the loyalty of the carriage driver...;;;;;;;;;x 
EVTOPTA7900;My co-conspirators will bribe the driver...;;;;;;;;;x 
EVTOPTB7900;Bribe driver;;;;;;;;;x 
EVTOPTC7900;I know how to persuade the driver...;;;;;;;;;x 
EVTDESC7902;My co-conspirator, [From.GetTitledName], wants money to bribe the driver of the carriage taking [Root.PlotTarget.GetTitledName] on a lengthy journey. An accident will be arranged along the way...;;;;;;;;;x 
EVTOPTA7902;The money will be sent.;;;;;;;;;x 
EVTDESC7903;I have received the money from [From.GetTitledFirstName]. It is enough to bribe the driver!;;;;;;;;;x 
EVTDESC7904;[From.GetTitledFirstName] has decided not to send me the money I needed to bribe the carriage driver...;;;;;;;;;x 
EVTDESC7905;You are going on a lengthy journey by closed carriage in [Root.Location.GetName] together with some of your trusted bodyguards. As you travel down a steep slope overlooking a ravine, you notice that you have begun to pick up quite a bit of speed.;;;;;;;;;x 
EVTOPTA7905;Excellent, we shall make good time.;;;;;;;;;x 
EVTOPTB7905;Everybody out!;;;;;;;;;x 
EVTTOOLTIP7905;Arrange for [This.GetTitledFirstName] perish in a carriage accident.;;;;;;;;;x 
EVTDESC7906;The speed of the carriage picks up even more as it hurtles down the slope. Looking through the rear window you see a waving man holding the reins of two familiar-looking horses far behind on the road. Only when the carriage flies over the edge of the ravine do you realize who it was the man reminded you of - your driver...;;;;;;;;;x 
EVTOPTA7906;[FromFrom.GetTitledFirstName] must have bribed him!;;;;;;;;;x 
EVTOPTA7907;That rat!;;;;;;;;;x 
EVTDESC7908;You and your guards throw yourself out of the carriage before it flies over the edge of the ravine. Far behind is your fleeing driver with the horses, but your guards catch up with and detain the man. He admits to having been paid generously to see you suffer a fatal accident during the journey.;;;;;;;;;x 
EVTOPTA7908;Paid by [FromFrom.GetTitledFirstName], you say?;;;;;;;;;x 
EVTOPTA7909;And you don't know by whom? You will hang for this.;;;;;;;;;x 
EVTDESC7910;My co-conspirator, [From.GetTitledFirstName], has sent word that the carriage [Root.PlotTarget.GetTitledFirstName] is travelling on will soon suffer an unfortunate accident leaving no survivors.;;;;;;;;;x 
EVTOPTA7910;Those things are deathtraps...;;;;;;;;;x 
EVTDESC7911;[From.GetTitledFirstName] approves of my scheme to have [From.PlotTarget.GetTitledFirstName] perish in an unfortunate carriage accident. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTDESC7912;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. A tragic carriage accident will claim [From.PlotTarget.GetHerHis] life a month from now...;;;;;;;;;x 
EVTDESC7913;Success! The carriage was sent flying over the edge of a cliff with [From.GetTitledFirstName] still in it. Unfortunately, the driver I bribed was caught and my involvement was revealed during his torture...;;;;;;;;;x 
EVTDESC7914;Success! The carriage was sent flying over the edge of a cliff with [From.GetTitledFirstName] still in it. The driver I bribed has also been dealt with, leaving no loose ends that can tie me to this event.;;;;;;;;;x 
EVTOPTA7914;Shame on such a nice carriage, though.;;;;;;;;;x 
EVTDESC7915;Failure! The carriage was sent flying into a ravine, but [From.GetTitledFirstName] jumped out moments earlier. The driver was caught and has revealed my complicity in this plot.;;;;;;;;;x 
EVTOPTA7915;That spineless little...;;;;;;;;;x 
kurdish;Kurdish;;;;;;;;;x 
EVTDESC7916;Failure! The carriage was sent flying into a ravine, but [From.GetTitledFirstName] jumped out moments earlier. At least the driver was killed by [From.GetHerHis] guards before my involvement could be exposed.;;;;;;;;;x 
