#CODE;ENGLISH;;;;;;;;;x 
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
charge_on_undefended_tactic;Charge on Undefended Flank;;;;;;;;;x 
action_improve_relations_desc;Send your [GetChancellorName] on a diplomatic mission to improve relations with your vassals or the ruler of a county.;;;;;;;;;x 
#action_uncover_plots;Suppress Schemes;;;;;;;;;x 
action_uncover_plots_desc;Dispatch your [GetSpymasterName] to discourage vassals from associating with Factions, or to recruit new members for your own. This will also increase the likelihood of uncovering the plots of local nobles.;;;;;;;;;x 
EVTNAME9000;Vassal Discouraged from Joining Factions;;;;;;;;;x 
EVTDESC9000;You have spent some time investigating one of your liege's vassals in [Root.Location.GetName], and you feel that you have gathered enough information to gain a leverage that would discourage the vassal from supporting conspiratorial factions in the future.;;;;;;;;;x 
EVTOPTA9000;My liege must be informed.;;;;;;;;;x 
EVTTOOLTIP9001;Your liege is informed.;;;;;;;;;x 
EVTDESC9001;My liege,\n\nI believe that one of your vassals can be discouraged from associating with conspiratorial factions if the proper leverage is obtained. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9001;Blackmail the vassal.;;;;;;;;;x 
EVTOPTB9001;Obligate the vassal.;;;;;;;;;x 
EVTOPTC9001;Threaten the vassal.;;;;;;;;;x 
EVTOPTE9001;We will do nothing for now.;;;;;;;;;x 
EVTTOOLTIP9002;You use blackmail to gain a leverage on your vassal.;;;;;;;;;x 
EVTTOOLTIP9005;You use legalism to gain a leverage on your vassal.;;;;;;;;;x 
EVTTOOLTIP9008;You use threats to gain a leverage on your vassal.;;;;;;;;;x 
EVTDESC9002;My dear [Root.GetTitle],\n\nI regret that events have forced me to sully my hands in this manner, but unless you swear not to form new factions conspiring against me, I shall have to spread your unsavory secrets to anyone willing to listen.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9002;My preferences in bed must not be revealed...;;;;;;;;;x 
EVTOPTB9002;Others may not understand the wonders of impalement...;;;;;;;;;x 
EVTOPTC9002;My desires might make others think less of me...;;;;;;;;;x 
EVTOPTD9002;If the full extent of my drinking problem became known...;;;;;;;;;x 
EVTOPTE9002;I have not exactly led the most pious life...;;;;;;;;;x 
EVTOPTF9002;My little problem must not be revealed...;;;;;;;;;x 
EVTOPTG9002;Perhaps it is best not to take a chance on this...;;;;;;;;;x 
EVTOPTH9002;It's nothing but a bluff.;;;;;;;;;x 
EVTTOOLTIP9003;You refuse this outrageous demand.;;;;;;;;;x 
#EVTDESC9003;Honoured [Root.GetTitle],\n\nI am not surprised that you would stoop so low, but your attempt to blackmail me is in vain. I have nothing to hide.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
#EVTOPTA9003;That pompous...!;;;;;;;;;x 
EVTTOOLTIP9004;You decide it would be in your best interest to comply with this demand.;;;;;;;;;x 
EVTDESC9004;Honoured [Root.GetTitle],\n\nThough I curse your name, I will comply with your unfair demand. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9004;Excellent.;;;;;;;;;x 
EVTDESC9005;My dear [Root.GetTitle],\n\nPermit me to remind you of your obligations and duties as my sworn vassal. To form a conspiratorial faction would be in direct violation of these, and I must ask for your promise never to do so.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9005;True. Scheming is not the honorable way of doing things.;;;;;;;;;x 
EVTOPTB9005;Yes, enough lies and scheming.;;;;;;;;;x 
EVTOPTC9005;Perhaps you are right, my liege.;;;;;;;;;x 
EVTOPTD9005;Oh well. I wasn't planning on doing that anyway.;;;;;;;;;x 
EVTOPTE9005;True. Founding such a faction wouldn't be very nice of me.;;;;;;;;;x 
EVTOPTF9005;Perhaps [From.GetSheHe] has a point...;;;;;;;;;x 
EVTOPTG9005;Ha!;;;;;;;;;x 
EVTDESC9006;Honoured [Root.GetTitle],\n\nDo not speak to me of obligations and duties! I may be your vassal, but that does not make me your slave. I am within my full right to associate with whichever faction I wish.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9006;That little...!;;;;;;;;;x 
EVTDESC9007;Honoured [Root.GetTitle],\n\nThank you for reminding me of my duties and obligations as your vassal. You are right, of course. For the foreseeable future, you have my promise not to support factions conspiring against you.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9007;Very good.;;;;;;;;;x 
EVTDESC9008;My dear [Root.GetTitle],\n\nIf you think I let any vassal of mine support factions conspiring against me without taking action, you are sorely mistaken. If you value your wretched life, you will swear not to form any such faction.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9008;Oh my! I swear it! I swear it!!;;;;;;;;;x 
EVTOPTB9008;I know [From.GetSheHe] isn't bluffing...;;;;;;;;;x 
EVTOPTC9008;It's not worth dying for if there's no afterlife...;;;;;;;;;x 
EVTOPTD9008;There is no shame in backing down over this...;;;;;;;;;x 
EVTOPTE9008;Forming a faction is too much work anyway...;;;;;;;;;x 
EVTOPTF9008;No point in risking my neck over this.;;;;;;;;;x 
EVTOPTG9008;Do your worst.;;;;;;;;;x 
EVTDESC9009;Honoured [Root.GetTitle],\n\nYour pitiful threats against myself and my loved ones have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9009;The insolence!;;;;;;;;;x 
EVTDESC9010;Honoured [Root.GetTitle],\n\nI ask your forgiveness if I have done something to offend. I obviously wouldn't dream of associating with any faction conspiring against you or your enlightened rule.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9010;You are forgiven.;;;;;;;;;x 
opinion_pleased;Pleased;;;;;;;;;x 
opinion_coerced_into_leaving_faction;Discouraged from Factionalism;;;;;;;;;x 
opinion_coerced_into_joining_faction;Coerced into Joining Faction;;;;;;;;;x 
leaving_faction;Your vassal promises not to associate with factions conspiring against you.;;;;;;;;;x 
joining_faction;You gain leverage that can be used to recruit this noble into a faction.;;;;;;;;;x 
EVTNAME9020;Noble Encouraged to Join Your Faction;;;;;;;;;x 
EVTDESC9020;You have spent some time in [Root.Location.GetName], and you feel that you have found a promising candidate for membership in potential factions supported by your liege. A small amount of persuation will be necessary, however.;;;;;;;;;x 
EVTOPTA9020;I will inform my liege at once.;;;;;;;;;x 
EVTDESC9021;My liege,\n\nI have discovered a promising candidate that could potentially be strong-armed into joining factions that you support. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9021;Blackmail the noble.;;;;;;;;;x 
EVTOPTB9021;Obligate the noble.;;;;;;;;;x 
EVTOPTC9021;Threaten the noble.;;;;;;;;;x 
EVTOPTD9021;No, let us not go down this path...;;;;;;;;;x 
EVTTOOLTIP9022;You use blackmail to gain a leverage on the noble.;;;;;;;;;x 
EVTTOOLTIP9025;You use legalism to gain a leverage on the noble.;;;;;;;;;x 
EVTTOOLTIP9028;You use threats to gain a leverage on the noble.;;;;;;;;;x 
#EVTDESC9023;Honoured [Root.GetTitle],\n\nI am not surprised that you would stoop so low, but your attempt to blackmail me is in vain. I have nothing to hide.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC9024;Honored [Root.GetTitle],\n\nThough I curse your name, I will promise to support any faction of yours when called upon. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC9026;Honored [Root.GetTitle],\n\nYour legalistic nonsense will not be enough to manipulate me into picking up your banner. I will not pledge unquestioning support to your schemes.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC9029;Honored [Root.GetTitle],\n\nYour pitiful threats have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC9030;Honored [Root.GetTitle],\n\nI obviously stand together with you and your confederates. Before you do something hasty that we shall both regret, permit me to offer my pledge to support your faction when called upon.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA9030;Wise choice.;;;;;;;;;x 
c_orava_adj;Zvolenian;;;;;;;;;x 
c_saris_adj;Spisian;;;;;;;;;x 
EVTDESC94016;You have decided to join your personal guard in their daily training regimen at dawn. Things were a bit stiff at first, but when they realized you wouldn't have them beheaded for scoring hits on you with their wooden practise swords, they taught you many valuable lessons. Your martial skill has improved.;;;;;;;;;x 
EVTOPTA94016;Parry, Riposte!;;;;;;;;;x 
EVTDESC94017;You have been studying the art of mounted combat under the tutelage of a skilled local horseman. The bruises you have incurred from falling off your horse will heal in time and they are a small price to pay for your increased horsemanship.;;;;;;;;;x 
EVTOPTA94017;Giddyup!;;;;;;;;;x 
EVTDESC94018;History is a subject that has always fascinated you, and you have spent the last few weeks studying the campaigns of Alexander the Great. There are many lessons to be learned from his conquests in the east.;;;;;;;;;x 
EVTOPTA94018;Perhaps I, too, will march east some day.;;;;;;;;;x 
EVTDESC94072;Bookkeeping is an unappreciated art, and you have taken it upon yourself to master it. You have gained a clearer picture of the realm's finances and your stewardship has improved as a result.;;;;;;;;;x 
EVTOPTA94072;I could do this all day.;;;;;;;;;x 
EVTDESC94073;An important part of ruling a realm is learning how to delegate. This is something you have finally realized, and your stewardship has improved as a direct consequence.;;;;;;;;;x 
EVTOPTA94073;Things run more smoothly now.;;;;;;;;;x 
EVTDESC94074;Managing the large staff of servants in your castle is in many ways like managing a small realm. There are many duties to be performed, and getting things to run smoothly is a true challenge. You have spent some time reorganizing your household, and your stewardship has improved.;;;;;;;;;x 
EVTOPTA94074;Remember, breakfast is served at eight.;;;;;;;;;x 
EVTDESC94107;Much knowledge has been lost since the glory days of the Roman Empire, but some of their engineering knowledge has been preserved in dusty, old tomes for posterity. You have spent several days studying a few of these, and your learning has improved.;;;;;;;;;x 
EVTOPTA94107;They were a clever bunch.;;;;;;;;;x 
EVTDESC94108;Philosophy is not quite as popular these days as it was in classical antiquity, but you have found an old scholar who is willing to share his knowledge with you. Under his tutelage, you study the works of Plato, Socrates, Aristotle and other philosophical giants.;;;;;;;;;x 
EVTOPTA94108;I know that I know nothing.;;;;;;;;;x 
EVTDESC94109;The heavens can teach us much, and you have been engrossed in the science of astronomy for the past several days. You have learned the names of the celestial bodies and the various constellations, and how to use the stars for navigation. Your learning has improved.;;;;;;;;;x 
EVTOPTA94109;So it's just a comet, not an omen of the end times...;;;;;;;;;x 
EVTDESC94138;There is a talented town crier in [Root.Location.GetName] who seems able to capture the attention of the peasant rabble in an instant with his commanding voice. You have studied his methods and the pitch of his voice closely, and you expect to do better the next time you have to address a large crowd of people.;;;;;;;;;x 
EVTOPTA94138;Hear ye, hear ye!;;;;;;;;;x 
EVTDESC94139;You have spent some time immersed in tomes describing the various cultures surrounding your realm. Though some of what you learned seems suspect, you have still obtained a better understanding in how to approach foreigners. Your diplomatic ability has improved as a result.;;;;;;;;;x 
EVTOPTA94139;Things would be simpler if everyone was [Root.Culture.GetName].;;;;;;;;;x 
EVTDESC94156;An old weather-bitten diplomat who has served in most of the courts in Europe ("the ones that mattered at least") agreed to take you under his wing for a few days. He has taught you many valuable tricks in how to deal with vassals and other rulers.;;;;;;;;;x 
EVTOPTA94156;Much obliged.;;;;;;;;;x 
EVTDESC94169;You have been studying alchemy recently, for the sole purpose of learning everything you can about poisons. You have learned the answers to important questions such as which poisons are the most potent, which are the most difficult to detect and how best to guard against them.;;;;;;;;;x 
EVTOPTA94169;This knowledge may save my life one day.;;;;;;;;;x 
EVTDESC94172;Assassins are a constant danger that every ruler may have to face. To prepare, you have decided to expand the size of your personal bodyguard. Any would-be [Root.GetTitle]-slayer will have to fight through them first!;;;;;;;;;x 
EVTOPTA94172;They shall follow me everywhere.;;;;;;;;;x 
EVTDESC94173;You have hired an old assassin to teach you how best to thwart the efforts of his kind. He has taught you several valuable lessons, like never sitting with your back towards a door and to never stay long in an inn that smells of manure.;;;;;;;;;x 
EVTOPTA94173;These lessons will prolong my life.;;;;;;;;;x 
EVTDESC94185;You have dispatched couriers to every corner of your realm, who will sing the praises of your dynasty and speak of its great deeds. Hopefully this will make it seem less decadent.;;;;;;;;;x 
EVTOPTA94185;I should hope so!;;;;;;;;;x 
EVTDESC94186;The decadence of your dynasty has become a problem, and in an effort to root it out you have decided to strip your palace of unnecessary luxuries. This should bring you closer to the people.;;;;;;;;;x 
EVTOPTA94186;The wine fountain will be missed, though...;;;;;;;;;x 
EVTDESC94187;You have ordered your men to close down all the brothels in [Root.Location.GetName]. No exceptions.;;;;;;;;;x 
EVTOPTA94187;This decadence must end.;;;;;;;;;x 
EVTDESC249;In the chaos of battle, your men have managed to corner [From.GetTitledFirstName]! He resisted bravely before they slew him.;;;;;;;;;x 
EVTOPTA249;Good riddance!;;;;;;;;;x 
PART_SCALED_DECADENCE_EFFECT;§Y$WHO$§!: $DIRECTION$ $VALUE$ Decadence from war contribution.\n;;;;;;;;;x 
NEWBORN_PURPLE_SETUP;Child Born in the Purple;;;;;;;;;x 
NEWBORN_PURPLE_LOG;A §Y$SEX$§! was Born in the Purple to §Y$CHAR1$§! and §Y$CHAR2$§!, named §Y$CHILD$§!.;;;;;;;;;x 
NEWBORN_PURPLE_LETTER;$MOTHER$ has given birth to a $SEX$ in the Porphyry Chamber. The child will be named $CHILD$;;;;;;;;;x 
NEWBORN_PURPLE_TO_PLAYER;You have a $SEX$! $CHAR2$ suggests naming the child:;;;;;;;;;x 
FACTION_BACKERS_LESS_THAN;Less than §Y$VAL$§! Backers in Faction '§Y$FACTION$§!';;;;;;;;;x 
FACTION_BACKERS_AT_LEAST;At least §Y$VAL$§! Backers in Faction '§Y$FACTION$§!';;;;;;;;;x 
HAVNT_RACE;Ethnicity is NOT ;;;;;;;;;x 
HAVE_RACE;Ethnicity is ;;;;;;;;;x 
commit_suicide;Commit Suicide;;;;;;;;;x 
commit_suicide_desc;Your depression has gotten the better of you and you have decided to end it all.;;;;;;;;;x 
